dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000115,5.250000,0.000002,0.000199,0.009972,0.498593,0.000000
0.020000,0.000115,5.250000,0.000010,0.000598,0.019944,0.498593,0.000000
0.020000,0.000115,5.250000,0.000028,0.001197,0.029916,0.498593,0.000000
0.020000,0.000115,5.250000,0.000060,0.001994,0.039887,0.498593,0.000000
0.020000,0.000115,5.250000,0.000110,0.002992,0.049859,0.498593,0.000000
0.020000,0.000115,5.250000,0.000181,0.004188,0.059831,0.498593,0.000000
0.020000,0.000115,5.250000,0.000279,0.005584,0.069803,0.498593,0.000000
0.020000,0.000115,5.250000,0.000407,0.007180,0.079775,0.498593,0.000000
0.020000,0.000115,5.250000,0.000568,0.008975,0.089747,0.498593,0.000000
0.020000,0.000115,5.250000,0.000768,0.010969,0.099719,0.498593,0.000000
0.020000,0.000115,5.250000,0.001009,0.013163,0.109690,0.498593,0.000000
0.020000,0.000115,5.250000,0.001296,0.015556,0.119662,0.498593,0.000000
0.020000,0.000115,5.250000,0.001633,0.018149,0.129634,0.498593,0.000000
0.020000,0.000115,5.250000,0.002024,0.020941,0.139606,0.498593,0.000000
0.020000,0.000115,5.250000,0.002473,0.023932,0.149578,0.498593,0.000000
0.020000,0.000115,5.250000,0.002984,0.027123,0.159550,0.498593,0.000000
0.020000,0.000115,5.250000,0.003560,0.030514,0.169522,0.498593,0.000000
0.020000,0.000115,5.250000,0.004206,0.034104,0.179494,0.498593,0.000000
0.020000,0.000115,5.250000,0.004926,0.037893,0.189465,0.498593,0.000000
0.020000,0.000839,5.250000,0.005724,0.041882,0.199437,0.498593,0.000000
0.020000,0.001717,5.250000,0.006601,0.045871,0.199437,0.000000,0.000000
0.020000,0.002674,5.250000,0.007559,0.049859,0.199437,-0.000000,0.000000
0.020000,0.003711,5.250000,0.008596,0.053848,0.199437,0.000000,0.000000
0.020000,0.004828,5.250000,0.009713,0.057837,0.199437,-0.000000,0.000000
0.020000,0.006025,5.250000,0.010909,0.061826,0.199437,0.000000,0.000000
0.020000,0.007301,5.250000,0.012186,0.065814,0.199437,-0.000000,0.000000
0.020000,0.008657,5.250000,0.013542,0.069803,0.199437,-0.000000,0.000000
0.020000,0.010093,5.250000,0.014978,0.073792,0.199437,0.000000,0.000000
0.020000,0.011609,5.250000,0.016493,0.077781,0.199437,0.000000,0.000000
0.020000,0.013204,5.250000,0.018089,0.081769,0.199437,-0.000000,0.000000
0.020000,0.014880,5.250000,0.019764,0.085758,0.199437,0.000000,0.000000
0.020000,0.016635,5.250000,0.021519,0.089747,0.199437,-0.000000,0.000000
0.020000,0.018469,5.250000,0.023354,0.093736,0.199437,0.000000,0.000000
0.020000,0.020384,5.250000,0.025269,0.097724,0.199437,0.000000,0.000000
0.020000,0.022378,5.250000,0.027263,0.101713,0.199437,-0.000000,0.000000
0.020000,0.024453,5.250000,0.029337,0.105702,0.199437,0.000000,0.000000
0.020000,0.026606,5.250000,0.031491,0.109690,0.199437,-0.000000,0.000000
0.020000,0.028840,5.250000,0.033725,0.113679,0.199437,0.000000,0.000000
0.020000,0.031154,5.250000,0.036038,0.117668,0.199437,0.000000,0.000000
0.020000,0.033547,5.250000,0.038432,0.121657,0.199437,-0.000000,0.000000
0.020000,0.036020,5.250000,0.040905,0.125645,0.199437,0.000000,0.000000
