dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000095,23.232000,0.000199,0.019909,0.995435,49.771738,0.000022
0.020000,0.000778,23.232000,0.000882,0.034148,0.711955,-14.173999,0.000177
0.020000,0.002315,23.232001,0.002419,0.076833,2.134275,71.115988,0.000525
0.020000,0.004876,23.232003,0.004980,0.128058,2.561226,21.347582,0.001106
0.020000,0.008462,23.232008,0.008566,0.179286,2.561404,0.008915,0.001919
0.020000,0.013072,23.232019,0.013176,0.230519,2.561660,0.012789,0.002964
0.020000,0.018707,23.232040,0.018811,0.281759,2.562000,0.016987,0.004241
0.020000,0.025368,23.232073,0.025471,0.333008,2.562431,0.021573,0.005749
0.020000,0.033053,23.232124,0.033157,0.384267,2.562965,0.026675,0.007489
0.020000,0.041763,23.232198,0.041867,0.435539,2.563611,0.032320,0.009460
0.020000,0.051499,23.232300,0.051604,0.486827,2.564385,0.038667,0.011661
0.020000,0.062261,23.232439,0.062367,0.538133,2.565300,0.045768,0.014093
0.020000,0.074049,23.232621,0.074156,0.589460,2.566374,0.053688,0.016754
0.020000,0.086863,23.232854,0.086972,0.640813,2.567625,0.062568,0.019643
0.020000,0.100704,23.233148,0.100816,0.692194,2.569074,0.072451,0.022761
0.020000,0.115571,23.233511,0.115688,0.743609,2.570743,0.083434,0.026106
0.020000,0.131466,23.233954,0.131589,0.795062,2.572655,0.095611,0.029677
0.020000,0.148389,23.234489,0.148521,0.846559,2.574835,0.109003,0.033472
0.020000,0.166340,23.235126,0.166483,0.898105,2.577311,0.123783,0.037491
0.020000,0.185319,23.235878,0.185477,0.949707,2.580109,0.139912,0.041733
0.020000,0.205327,23.236759,0.205504,1.001373,2.583260,0.157536,0.046194
0.020000,0.226365,23.237780,0.226566,1.053109,2.586793,0.176673,0.050874
0.020000,0.248432,23.238958,0.248665,1.104923,2.590741,0.197365,0.055769
0.020000,0.271529,23.240307,0.271801,1.156826,2.595134,0.219689,0.060879
