dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000127,21.768000,0.000199,0.019909,0.995435,49.771738,0.000022
0.020000,0.001037,21.768000,0.001109,0.045487,1.278915,14.174000,0.000177
0.020000,0.003084,21.768001,0.003156,0.102345,2.842899,78.199220,0.000525
0.020000,0.006495,21.768004,0.006567,0.170573,3.411382,28.424155,0.001106
0.020000,0.011271,21.768011,0.011343,0.238797,3.411204,-0.008923,0.001919
0.020000,0.017411,21.768026,0.017483,0.307016,3.410948,-0.012811,0.002964
0.020000,0.024916,21.768053,0.024988,0.375228,3.410608,-0.016999,0.004241
0.020000,0.033784,21.768097,0.033857,0.443431,3.410175,-0.021607,0.005749
0.020000,0.044017,21.768165,0.044089,0.511624,3.409642,-0.026675,0.007489
0.020000,0.055612,21.768263,0.055685,0.579804,3.408994,-0.032374,0.009460
0.020000,0.068571,21.768400,0.068645,0.647968,3.408221,-0.038698,0.011661
0.020000,0.082892,21.768584,0.082967,0.716115,3.407305,-0.045785,0.014093
0.020000,0.098575,21.768826,0.098652,0.784239,3.406230,-0.053750,0.016754
0.020000,0.115619,21.769137,0.115698,0.852339,3.404978,-0.062609,0.019643
0.020000,0.134023,21.769527,0.134107,0.920409,3.403528,-0.072500,0.022761
0.020000,0.153786,21.770010,0.153876,0.988446,3.401858,-0.083490,0.026106
0.020000,0.174907,21.770599,0.175004,1.056445,3.399945,-0.095639,0.029677
0.020000,0.197384,21.771309,0.197492,1.124401,3.397763,-0.109099,0.033472
0.020000,0.221215,21.772155,0.221339,1.192306,3.395287,-0.123814,0.037491
0.020000,0.246398,21.773153,0.246542,1.260156,3.392487,-0.139995,0.041733
0.020000,0.272931,21.774320,0.273101,1.327943,3.389335,-0.157597,0.046194
0.020000,0.300812,21.775675,0.301014,1.395659,3.385800,-0.176728,0.050874
0.020000,0.330036,21.777234,0.330280,1.463296,3.381851,-0.197450,0.055769
0.020000,0.360601,21.779019,0.360897,1.530845,3.377456,-0.219757,0.060879
0.020000,0.392502,21.781049,0.392862,1.598297,3.372582,-0.243719,0.066200
0.020000,0.425736,21.783344,0.426175,1.665640,3.367195,-0.269331,0.071728
0.020000,0.460297,21.785927,0.460833,1.732866,3.361262,-0.296644,0.077462
0.020000,0.496179,21.788820,0.496832,1.799961,3.354750,-0.325595,0.083397
0.020000,0.533378,21.792044,0.534170,1.866913,3.347627,-0.356196,0.089530
0.020000,0.571886,21.795624,0.572844,1.933710,3.339858,-0.388423,0.095855
0.020000,0.611697,21.799583,0.612851,2.000339,3.331414,-0.422194,0.102370
0.020000,0.652802,21.803945,0.654187,2.066784,3.322265,-0.457462,0.109067
0.020000,0.695193,21.808734,0.696847,2.133032,3.312383,-0.494120,0.115943
0.020000,0.738860,21.813976,0.740829,2.199066,3.301741,-0.532073,0.122992
0.020000,0.783795,21.819696,0.786126,2.264873,3.290317,-0.571198,0.130207
0.020000,0.829987,21.825918,0.832735,2.330435,3.278091,-0.611326,0.137581
0.020000,0.877424,21.832668,0.880650,2.395735,3.265045,-0.652299,0.145107
0.020000,0.926094,21.839971,0.929865,2.460759,3.251165,-0.693963,0.152778
0.020000,0.975985,21.847853,0.980374,2.525488,3.236444,-0.736063,0.160586
0.020000,1.027083,21.856339,1.032173,2.589905,3.220876,-0.778415,0.168522
0.020000,1.079375,21.865453,1.085252,2.653994,3.204460,-0.820790,0.176577
0.020000,1.132845,21.875219,1.139607,2.717738,3.187202,-0.862921,0.184742
0.020000,1.187478,21.885663,1.195230,2.781121,3.169110,-0.904583,0.193007
0.020000,1.243258,21.896807,1.252112,2.844125,3.150200,-0.945499,0.201361
0.020000,1.300169,21.908675,1.310247,2.906734,3.130492,-0.985421,0.209795
0.020000,1.358192,21.921289,1.369625,2.968935,3.110010,-1.024089,0.218296
0.020000,1.417311,21.934669,1.430240,3.030710,3.088785,-1.061256,0.226853
0.020000,1.477507,21.948838,1.492081,3.092047,3.066851,-1.096680,0.235454
0.020000,1.538762,21.963813,1.555139,3.152932,3.044248,-1.130141,0.244086
0.020000,1.601056,21.979615,1.619406,3.213353,3.021020,-1.161433,0.252738
0.020000,1.664370,21.996260,1.684872,3.273297,2.997212,-1.190376,0.261395
0.020000,1.728686,22.013765,1.751527,3.332754,2.972876,-1.216817,0.270045
0.020000,1.793983,22.032145,1.819362,3.391716,2.948063,-1.240637,0.278675
0.020000,1.860242,22.051412,1.888365,3.450172,2.922828,-1.261746,0.287269
0.020000,1.927443,22.071580,1.958527,3.508117,2.897226,-1.280099,0.295815
0.020000,1.995567,22.092659,2.029838,3.565543,2.871312,-1.295681,0.304298
0.020000,2.064595,22.114658,2.102287,3.622446,2.845142,-1.308525,0.312704
0.020000,2.134509,22.137585,2.175864,3.678821,2.818768,-1.318701,0.321019
0.020000,2.205288,22.161445,2.250557,3.734666,2.792241,-1.326321,0.329227
0.020000,2.276917,22.186243,2.326357,3.789978,2.765611,-1.331537,0.337315
0.020000,2.349376,22.211982,2.403252,3.844757,2.738920,-1.334540,0.345268
0.020000,2.422650,22.238662,2.481232,3.899001,2.712209,-1.335553,0.353070
0.020000,2.496722,22.266282,2.560286,3.952711,2.685512,-1.334842,0.360709
0.020000,2.571578,22.294840,2.640404,4.005888,2.658858,-1.332694,0.368168
0.020000,2.647202,22.324330,2.721574,4.058534,2.632270,-1.329427,0.375434
0.020000,2.723581,22.354748,2.803787,4.110649,2.605762,-1.325382,0.382492
0.020000,2.800702,22.386083,2.887032,4.162236,2.579344,-1.320919,0.389328
0.020000,2.878555,22.418327,2.971298,4.213296,2.553015,-1.316414,0.395927
0.020000,2.957129,22.451467,3.056575,4.263832,2.526770,-1.312247,0.402275
