dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000111,22.500000,0.000199,0.019909,0.995435,49.771738,0.000022
0.020000,0.000908,22.500000,0.000995,0.059726,1.990870,49.771738,0.000177
0.020000,0.002699,22.500001,0.002787,0.119452,2.986304,49.771738,0.000525
0.020000,0.005686,22.500003,0.005774,0.179178,2.986304,-0.000000,0.001106
0.020000,0.009867,22.500009,0.009954,0.238904,2.986304,0.000000,0.001919
0.020000,0.015242,22.500023,0.015330,0.298630,2.986304,-0.000000,0.002964
0.020000,0.021812,22.500046,0.021900,0.358357,2.986304,0.000000,0.004241
0.020000,0.029576,22.500085,0.029664,0.418083,2.986304,0.000000,0.005749
0.020000,0.038535,22.500144,0.038623,0.477809,2.986304,-0.000000,0.007489
0.020000,0.048688,22.500230,0.048776,0.537535,2.986304,0.000000,0.009460
0.020000,0.060035,22.500350,0.060124,0.597261,2.986304,0.000000,0.011661
0.020000,0.072577,22.500512,0.072667,0.656987,2.986304,0.000000,0.014093
0.020000,0.086312,22.500724,0.086404,0.716713,2.986304,-0.000000,0.016754
0.020000,0.101241,22.500995,0.101335,0.776439,2.986304,0.000000,0.019643
0.020000,0.117363,22.501337,0.117461,0.836165,2.986304,0.000000,0.022761
0.020000,0.134679,22.501760,0.134782,0.895891,2.986304,-0.000000,0.026106
0.020000,0.153187,22.502277,0.153297,0.955617,2.986304,0.000000,0.029677
0.020000,0.172886,22.502899,0.173007,1.015343,2.986304,0.000000,0.033472
0.020000,0.193777,22.503641,0.193911,1.075070,2.986304,-0.000000,0.037491
0.020000,0.215859,22.504516,0.216009,1.134796,2.986304,0.000000,0.041733
0.020000,0.239129,22.505539,0.239303,1.194522,2.986304,-0.000000,0.046194
0.020000,0.263588,22.506727,0.263790,1.254248,2.986304,0.000000,0.050874
0.020000,0.289234,22.508096,0.289472,1.313974,2.986304,-0.000000,0.055769
0.020000,0.316065,22.509663,0.316349,1.373700,2.986304,0.000000,0.060879
0.020000,0.344079,22.511445,0.344420,1.433426,2.986304,-0.000000,0.066200
0.020000,0.373276,22.513462,0.373686,1.493152,2.986304,0.000000,0.071728
0.020000,0.403651,22.515732,0.404147,1.552878,2.986304,-0.000000,0.077462
0.020000,0.435204,22.518276,0.435801,1.612604,2.986304,0.000000,0.083397
0.020000,0.467930,22.521112,0.468651,1.672330,2.986304,0.000000,0.089530
0.020000,0.501828,22.524264,0.502695,1.732056,2.986304,-0.000000,0.095855
0.020000,0.536893,22.527750,0.537933,1.791783,2.986304,0.000000,0.102370
0.020000,0.573123,22.531595,0.574366,1.851509,2.986304,0.000000,0.109067
0.020000,0.610512,22.535820,0.611993,1.911235,2.986304,-0.000000,0.115943
0.020000,0.649057,22.540447,0.650815,1.970961,2.986304,0.000000,0.122992
0.020000,0.688753,22.545499,0.690832,2.030687,2.986304,-0.000000,0.130207
0.020000,0.729595,22.551001,0.732043,2.090413,2.986304,0.000000,0.137581
0.020000,0.771578,22.556975,0.774448,2.150139,2.986304,0.000000,0.145107
0.020000,0.814695,22.563445,0.818048,2.209865,2.986304,0.000000,0.152778
0.020000,0.858941,22.570435,0.862843,2.269591,2.986304,0.000000,0.160586
0.020000,0.904308,22.577969,0.908832,2.329317,2.986304,-0.000000,0.168522
0.020000,0.950791,22.586071,0.956016,2.389043,2.986304,0.000000,0.176577
0.020000,0.998382,22.594763,1.004394,2.448770,2.986304,0.000000,0.184742
0.020000,1.047073,22.604071,1.053966,2.508496,2.986304,-0.000000,0.193007
0.020000,1.096856,22.614017,1.104733,2.568222,2.986304,0.000000,0.201361
0.020000,1.147723,22.624625,1.156695,2.627948,2.986304,0.000000,0.209795
0.020000,1.199666,22.635917,1.209851,2.687674,2.986304,0.000000,0.218296
0.020000,1.252676,22.647915,1.264202,2.747400,2.986304,0.000000,0.226853
0.020000,1.306743,22.660641,1.319747,2.807126,2.986304,-0.000000,0.235454
0.020000,1.361860,22.674116,1.376487,2.866852,2.986304,-0.000000,0.244086
0.020000,1.418015,22.688361,1.434421,2.926578,2.986304,0.000000,0.252738
0.020000,1.475201,22.703395,1.493550,2.986304,2.986304,-0.000000,0.261395
0.020000,1.533406,22.719237,1.553874,3.046030,2.986304,0.000000,0.270045
0.020000,1.592623,22.735905,1.615392,3.105756,2.986304,-0.000000,0.278675
0.020000,1.652841,22.753416,1.678104,3.165483,2.986304,0.000000,0.287269
0.020000,1.714050,22.771785,1.742011,3.225209,2.986304,0.000000,0.295815
0.020000,1.776243,22.791029,1.807112,3.284935,2.986304,-0.000000,0.304298
0.020000,1.839408,22.811160,1.873408,3.344661,2.986304,0.000000,0.312704
0.020000,1.903538,22.832190,1.940899,3.404387,2.986304,-0.000000,0.321019
0.020000,1.968624,22.854131,2.009584,3.464113,2.986304,0.000000,0.329227
0.020000,2.034658,22.876992,2.079463,3.523839,2.986304,0.000000,0.337315
0.020000,2.101632,22.900783,2.150537,3.583565,2.986304,-0.000000,0.345268
0.020000,2.169539,22.925509,2.222806,3.643291,2.986304,0.000000,0.353070
0.020000,2.238372,22.951175,2.296269,3.703017,2.986304,-0.000000,0.360709
0.020000,2.308126,22.977787,2.370927,3.762743,2.986304,0.000000,0.368168
0.020000,2.378794,23.005345,2.446779,3.822469,2.986304,-0.000000,0.375434
0.020000,2.450373,23.033851,2.523825,3.882196,2.986304,0.000000,0.382492
0.020000,2.522860,23.063303,2.602066,3.941922,2.986304,0.000000,0.389328
0.020000,2.596250,23.093699,2.681502,4.001648,2.986304,-0.000000,0.395927
0.020000,2.670542,23.125033,2.762132,4.061374,2.986304,0.000000,0.402275
0.020000,2.745736,23.157300,2.843957,4.121100,2.986304,0.000000,0.408357
0.020000,2.821832,23.190490,2.926976,4.180826,2.986304,-0.000000,0.414160
0.020000,2.898831,23.224594,3.011190,4.240552,2.986304,0.000000,0.419668
0.020000,2.976736,23.259599,3.096598,4.300278,2.986304,-0.000000,0.424869
0.020000,3.055551,23.295492,3.183201,4.360004,2.986304,0.000000,0.429746
0.020000,3.135280,23.332256,3.270999,4.419730,2.986304,0.000000,0.434287
0.020000,3.215931,23.369872,3.359990,4.479456,2.986304,-0.000000,0.438477
0.020000,3.297511,23.408320,3.450177,4.539183,2.986304,0.000000,0.442300
0.020000,3.380029,23.447578,3.541558,4.598909,2.986304,-0.000000,0.445742
0.020000,3.463497,23.487620,3.634133,4.658635,2.986304,0.000000,0.448789
0.020000,3.547926,23.528419,3.727903,4.718361,2.986304,0.000000,0.451424
0.020000,3.633330,23.569945,3.822868,4.778087,2.986304,-0.000000,0.453633
0.020000,3.719725,23.612165,3.919027,4.837813,2.986304,0.000000,0.455399
0.020000,3.807127,23.655044,4.016380,4.897539,2.986304,0.000000,0.456706
0.020000,3.895555,23.698543,4.114928,4.957265,2.986304,-0.000000,0.457537
0.020000,3.985029,23.742622,4.214671,5.016991,2.986304,0.000000,0.457875
0.020000,4.075571,23.787237,4.315608,5.076717,2.986304,-0.000000,0.457701
0.020000,4.167204,23.832339,4.417739,5.136443,2.986304,0.000000,0.456998
0.020000,4.259953,23.877879,4.521066,5.196169,2.986304,0.000000,0.455746
0.020000,4.353846,23.923800,4.625586,5.255896,2.986304,-0.000000,0.453925
0.020000,4.448909,23.970046,4.731301,5.315622,2.986304,0.000000,0.451514
0.020000,4.545173,24.016553,4.838211,5.375348,2.986304,-0.000000,0.448493
0.020000,4.642669,24.063255,4.946315,5.435074,2.986304,0.000000,0.444838
0.020000,4.741429,24.110080,5.055614,5.494800,2.986304,0.000000,0.440527
0.020000,4.841488,24.156951,5.166107,5.554526,2.986304,-0.000000,0.435536
0.020000,4.942880,24.203789,5.277795,5.614252,2.986304,0.000000,0.429840
0.020000,5.045642,24.250506,5.390677,5.673978,2.986304,-0.000000,0.423413
0.020000,5.149810,24.297009,5.504754,5.733704,2.986304,0.000000,0.416231
0.020000,5.255421,24.343201,5.620026,5.793430,2.986304,0.000000,0.408266
0.020000,5.362513,24.388977,5.736491,5.853156,2.986304,-0.000000,0.399492
0.020000,5.471124,24.434226,5.854152,5.912882,2.986304,0.000000,0.389881
0.020000,5.581291,24.478831,5.973007,5.972609,2.986304,0.000000,0.379408
0.020000,5.693050,24.522667,6.093056,6.032335,2.986304,-0.000000,0.368045
0.020000,5.806437,24.565601,6.214300,6.092061,2.986304,0.000000,0.355767
0.020000,5.921484,24.607496,6.336739,6.151787,2.986304,-0.000000,0.342551
0.020000,6.038222,24.648205,6.460372,6.211513,2.986304,0.000000,0.328375
0.020000,6.156677,24.687574,6.585199,6.271239,2.986304,0.000000,0.313218
0.020000,6.276873,24.725442,6.711221,6.330965,2.986304,-0.000000,0.297066
