dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000124,21.732000,0.000224,0.022441,1.122064,56.103210,0.000024
0.020000,0.000908,21.732000,0.001009,0.039234,0.839612,-14.122617,0.000179
0.020000,0.002674,21.732001,0.002775,0.088275,2.452055,80.622166,0.000526
0.020000,0.005813,21.732003,0.005913,0.156930,3.432767,49.035612,0.001143
0.020000,0.010520,21.732011,0.010621,0.235389,3.922929,24.508095,0.002070
0.020000,0.016797,21.732028,0.016898,0.313840,3.922556,-0.018664,0.003305
0.020000,0.024643,21.732060,0.024743,0.392281,3.922076,-0.023983,0.004850
0.020000,0.034057,21.732114,0.034158,0.470711,3.921505,-0.028576,0.006705
0.020000,0.045039,21.732200,0.045140,0.549129,3.920862,-0.032140,0.008870
0.020000,0.057589,21.732327,0.057691,0.627532,3.920170,-0.034586,0.011345
0.020000,0.071706,21.732506,0.071809,0.705921,3.919458,-0.035626,0.014131
0.020000,0.087390,21.732752,0.087495,0.784296,3.918756,-0.035072,0.017228
0.020000,0.104640,21.733079,0.104748,0.862658,3.918102,-0.032706,0.020637
0.020000,0.123456,21.733502,0.123568,0.941009,3.917536,-0.028297,0.024357
0.020000,0.143836,21.734040,0.143956,1.019351,3.917105,-0.021588,0.028390
0.020000,0.165779,21.734711,0.165909,1.097688,3.916856,-0.012412,0.032735
0.020000,0.189285,21.735535,0.189430,1.176025,3.916848,-0.000417,0.037392
0.020000,0.214353,21.736535,0.214517,1.254368,3.917138,0.014520,0.042361
0.020000,0.240980,21.737734,0.241172,1.332724,3.917794,0.032778,0.047642
0.020000,0.269166,21.739157,0.269394,1.411101,3.918883,0.054475,0.053234
0.020000,0.298909,21.740830,0.299184,1.489511,3.920483,0.079955,0.059136
0.020000,0.330208,21.742781,0.330543,1.567965,3.922670,0.109393,0.065348
0.020000,0.363060,21.745038,0.363473,1.646475,3.925531,0.143054,0.071866
0.020000,0.397463,21.747633,0.397974,1.725058,3.929153,0.181098,0.078691
0.020000,0.433416,21.750597,0.434048,1.803731,3.933629,0.223796,0.085818
0.020000,0.470916,21.753963,0.471699,1.882512,3.939053,0.271200,0.093246
0.020000,0.509959,21.757767,0.510927,1.961422,3.945524,0.323547,0.100970
0.020000,0.550544,21.762043,0.551737,2.040485,3.953141,0.380842,0.108986
0.020000,0.592668,21.766829,0.594131,2.119725,3.962005,0.443180,0.117290
0.020000,0.636326,21.772164,0.638115,2.199170,3.972215,0.510530,0.125876
0.020000,0.681517,21.778086,0.683692,2.278847,3.983871,0.582798,0.134738
0.020000,0.728236,21.784637,0.730867,2.358788,3.997069,0.659876,0.143868
0.020000,0.776479,21.791858,0.779648,2.439026,4.011899,0.741528,0.153258
0.020000,0.826242,21.799791,0.830040,2.519595,4.028448,0.827440,0.162900
0.020000,0.877522,21.808480,0.882051,2.600531,4.046793,0.917241,0.172782
0.020000,0.930313,21.817969,0.935688,2.681871,4.067002,1.010470,0.182895
0.020000,0.984612,21.828303,0.990961,2.763654,4.089133,1.106538,0.193226
0.020000,1.040413,21.839527,1.047879,2.845919,4.113229,1.204813,0.203762
0.020000,1.097710,21.851688,1.106453,2.928705,4.139321,1.304562,0.214489
0.020000,1.156500,21.864831,1.166695,3.012053,4.167420,1.404960,0.225390
0.020000,1.216776,21.879004,1.228615,3.096004,4.197523,1.505174,0.236451
0.020000,1.278534,21.894252,1.292227,3.180596,4.229608,1.604225,0.247653
0.020000,1.341766,21.910623,1.357544,3.265869,4.263632,1.701214,0.258978
0.020000,1.406469,21.928162,1.424581,3.351859,4.299534,1.795113,0.270406
0.020000,1.472635,21.946914,1.493353,3.438604,4.337234,1.884994,0.281916
0.020000,1.540258,21.966927,1.563876,3.526137,4.376632,1.969900,0.293487
0.020000,1.609334,21.988242,1.636166,3.614489,4.417611,2.048941,0.305097
0.020000,1.679856,22.010905,1.710239,3.703690,4.460038,2.121330,0.316722
0.020000,1.751818,22.034957,1.786115,3.793765,4.503764,2.186342,0.328339
0.020000,1.825215,22.060439,1.863810,3.884738,4.548633,2.243421,0.339923
0.020000,1.900042,22.087390,1.943342,3.976627,4.594475,2.292114,0.351449
0.020000,1.976294,22.115847,2.024731,4.069449,4.641118,2.332162,0.362891
0.020000,2.053966,22.145848,2.107995,4.163217,4.688388,2.363461,0.374224
0.020000,2.133054,22.177423,2.193154,4.257939,4.736109,2.386092,0.385421
0.020000,2.213556,22.210606,2.280227,4.353622,4.784116,2.400325,0.396457
0.020000,2.295469,22.245423,2.369232,4.450267,4.832248,2.406603,0.407305
0.020000,2.378791,22.281901,2.460189,4.547874,4.880359,2.405545,0.417938
0.020000,2.463523,22.320063,2.553118,4.646440,4.928318,2.397934,0.428331
0.020000,2.549665,22.359928,2.648037,4.745960,4.976011,2.384691,0.438458
0.020000,2.637219,22.401514,2.744966,4.846427,5.023349,2.366870,0.448292
0.020000,2.726191,22.444832,2.843923,4.947833,5.070261,2.345622,0.457808
0.020000,2.816585,22.489893,2.944926,5.050167,5.116705,2.322183,0.466981
0.020000,2.908411,22.536702,3.047994,5.153420,5.162662,2.297842,0.475785
0.020000,3.001678,22.585263,3.153146,5.257583,5.208140,2.273924,0.484196
0.020000,3.096400,22.635572,3.260399,5.362646,5.253175,2.251759,0.492189
0.020000,3.192591,22.687625,3.369771,5.468603,5.297829,2.232671,0.499740
0.020000,3.290270,22.741411,3.481280,5.575447,5.342188,2.217947,0.506824
0.020000,3.389460,22.796916,3.594943,5.683174,5.386364,2.208829,0.513417
0.020000,3.490185,22.854122,3.710779,5.791784,5.430494,2.206491,0.519496
0.020000,3.592473,22.913004,3.828805,5.901278,5.474735,2.212029,0.525035
0.020000,3.696358,22.973534,3.949038,6.011664,5.519264,2.226444,0.530011
0.020000,3.801876,23.035680,4.071497,6.122949,5.564276,2.250632,0.534399
0.020000,3.909069,23.099403,4.196200,6.235149,5.609984,2.285367,0.538175
0.020000,4.017981,23.164659,4.323166,6.348281,5.656609,2.331288,0.541311
0.020000,4.128664,23.231399,4.452413,6.462369,5.704387,2.388877,0.543784
0.020000,4.241173,23.299566,4.583962,6.577440,5.753556,2.458437,0.545564
0.020000,4.355569,23.369100,4.717832,6.693527,5.804357,2.540063,0.546626
0.020000,4.471918,23.439930,4.854046,6.810668,5.857029,2.633594,0.546940
0.020000,4.590293,23.511981,4.992624,6.928904,5.911800,2.738577,0.546476
0.020000,4.710770,23.585170,5.133589,7.048281,5.968884,2.854188,0.545202
0.020000,4.833434,23.659403,5.276966,7.168851,6.028467,2.979165,0.543087
0.020000,4.958374,23.734578,5.422780,7.290665,6.090701,3.111697,0.540097
0.020000,5.085687,23.810585,5.571055,7.413778,6.155688,3.249312,0.536195
0.020000,5.215474,23.887301,5.721820,7.538248,6.223462,3.388730,0.531345
0.020000,5.347844,23.964593,5.875103,7.664127,6.293976,3.525690,0.525508
0.020000,5.482908,24.042312,6.030932,7.791469,6.367071,3.654765,0.518644
0.020000,5.620787,24.120300,6.189338,7.920318,6.442454,3.769142,0.510713
0.020000,5.761603,24.198379,6.350353,8.050711,6.519662,3.860390,0.501671
0.020000,5.905484,24.276358,6.514006,8.182672,6.598027,3.918248,0.491475
0.020000,6.052560,24.354027,6.680330,8.316204,6.676635,3.930410,0.480084
0.020000,6.202961,24.431157,6.849356,8.451290,6.754282,3.882372,0.467455
0.020000,6.356820,24.507499,7.021114,8.587878,6.829431,3.757412,0.453545
0.020000,6.514265,24.582783,7.195631,8.725882,6.900165,3.536689,0.438317
0.020000,6.675419,24.656715,7.372934,8.865165,6.964157,3.199626,0.421736
0.020000,6.831959,24.726213,7.544208,8.563696,-15.073442,-1101.879941,0.415682
0.020000,6.989381,24.795302,7.716125,8.595819,1.606152,833.979672,0.411367
0.020000,7.149147,24.864546,7.890250,8.706287,5.523397,195.862290,0.406487
0.020000,7.311331,24.933842,8.066618,8.818391,5.605218,4.091032,0.400997
0.020000,7.476017,25.003076,8.245265,8.932358,5.698310,4.654580,0.394845
0.020000,7.643082,25.072036,8.426003,9.036891,5.226651,-23.582915,0.387983
0.020000,7.812193,25.140413,8.608415,9.120568,4.183883,-52.138407,0.380368
0.020000,7.983015,25.207895,8.792083,9.183436,3.143366,-52.025884,0.371954
0.020000,8.155102,25.274127,8.976475,9.219601,1.808248,-66.755881,0.362703
0.020000,8.327998,25.338755,9.161055,9.229004,0.470185,-66.903127,0.352577
0.020000,8.501352,25.401472,9.345406,9.217530,-0.573730,-52.195782,0.341532
0.020000,8.674806,25.461974,9.529109,9.185138,-1.619592,-52.293092,0.329528
0.020000,8.848104,25.520003,9.711864,9.137781,-2.367821,-37.411443,0.316515
0.020000,9.021212,25.575373,9.893612,9.087376,-2.520256,-7.621730,0.302427
0.020000,9.194207,25.627923,10.074413,9.040029,-2.367369,7.644317,0.287180
0.020000,9.367169,25.677480,10.254334,8.996094,-2.196736,8.531662,0.270679
0.020000,9.540182,25.723853,10.433454,8.955957,-2.006860,9.493785,0.252823
0.020000,9.713328,25.766829,10.611854,8.920030,-1.796335,10.526286,0.233495
0.020000,9.886695,25.806176,10.789629,8.888751,-1.563979,11.617759,0.212568
0.020000,10.060364,25.841632,10.966881,8.862569,-1.309066,12.745672,0.189903
0.020000,10.234415,25.872907,11.143719,8.841937,-1.031622,13.872211,0.165349
0.020000,10.408919,25.899679,11.320265,8.827279,-0.732877,14.937228,0.138741
0.020000,10.583932,25.921584,11.496644,8.818962,-0.415868,15.850476,0.109907
0.020000,10.759490,25.938223,11.672989,8.817238,-0.086229,16.481915,0.078666
0.020000,10.935595,25.949150,11.849432,8.822174,0.246809,16.651905,0.044835
0.020000,11.112203,25.953879,12.026104,8.833559,0.569255,16.122298,0.008239
0.020000,11.289207,25.951883,12.203119,8.850782,0.861152,14.594858,6.251903
0.020000,11.466418,25.942603,12.380573,8.872693,1.095579,11.721335,6.209328
0.020000,11.643540,25.925464,12.558522,8.897460,1.238322,7.137147,6.163621
0.020000,11.820149,25.899902,12.736971,8.922437,1.248871,0.527456,6.114775
0.020000,11.995671,25.865396,12.915853,8.944108,1.083537,-8.266661,6.062882
0.020000,12.169377,25.821513,13.095016,8.958134,0.701316,-19.111092,6.008149
0.020000,12.340381,25.767967,13.274208,8.959584,0.072496,-31.440973,5.950922
0.020000,12.507673,25.704668,13.453075,8.943360,-0.811227,-44.186181,5.891683
0.020000,12.670167,25.631770,13.631171,8.904801,-1.927930,-55.835115,5.831043
0.020000,12.826770,25.549696,13.807978,8.840368,-3.221678,-64.687428,5.769711
0.020000,12.976470,25.459128,13.982943,8.748229,-4.606947,-69.263446,5.708444
0.020000,13.118412,25.360977,14.155515,8.628595,-5.981662,-68.735724,5.647994
0.020000,13.251960,25.256316,14.325188,8.483684,-7.245566,-63.195213,5.589054
0.020000,13.376729,25.146298,14.491535,8.317324,-8.318006,-53.621998,5.532209
0.020000,13.492586,25.032087,14.654221,8.134334,-9.149503,-41.574872,5.477915
0.020000,13.599622,24.914785,14.813018,7.939844,-9.724502,-28.749916,5.426485
0.020000,13.698112,24.795392,14.967793,7.738717,-10.056329,-16.591364,5.378102
0.020000,13.788464,24.674777,15.118496,7.535160,-10.177841,-6.075597,5.332830
0.020000,13.871171,24.553674,15.265146,7.332533,-10.131380,2.323048,5.290645
0.020000,13.946773,24.432686,15.407813,7.133321,-9.960611,8.538456,5.251453
0.020000,14.015822,24.312298,15.546597,6.939217,-9.705180,12.771530,5.215113
0.020000,14.078862,24.192892,15.681622,6.751256,-9.398061,15.355969,5.181458
0.020000,14.136414,24.074767,15.813022,6.569959,-9.064853,16.660394,5.150306
0.020000,14.188964,23.958151,15.940931,6.395472,-8.724314,17.026927,5.121469
0.020000,14.236964,23.843218,16.065485,6.227684,-8.389417,16.744862,5.094765
0.020000,14.280827,23.730098,16.186811,6.066312,-8.068583,16.041689,5.070019
0.020000,14.320926,23.618887,16.305030,5.910976,-7.766822,15.088096,5.047064
0.020000,14.357602,23.509655,16.420255,5.761242,-7.486707,14.005739,5.025749
0.020000,14.391160,23.402451,16.532588,5.616659,-7.229119,12.879390,5.005932
0.020000,14.421878,23.297311,16.642124,5.476783,-6.993844,11.763770,4.987485
0.020000,14.450004,23.194256,16.748948,5.341183,-6.779964,10.693990,4.970290
0.020000,14.475763,23.093302,16.853137,5.209460,-6.586167,9.689845,4.954242
0.020000,14.499356,22.994453,16.954762,5.081241,-6.410939,8.761400,4.939245
0.020000,14.520968,22.897714,17.053886,4.956187,-6.252703,7.911804,4.925212
0.020000,14.540763,22.803083,17.150565,4.833989,-6.109889,7.140675,4.912065
0.020000,14.558891,22.710555,17.244853,4.714369,-5.981014,6.443742,4.899735
0.020000,14.575489,22.620124,17.336794,4.597076,-5.864674,5.816999,4.888156
0.020000,14.590680,22.531783,17.426432,4.481884,-5.759592,5.254137,4.877272
0.020000,14.604577,22.445523,17.513804,4.368592,-5.664597,4.749745,4.867032
0.020000,14.617283,22.361336,17.598944,4.257019,-5.578636,4.298057,4.857387
0.020000,14.628892,22.279212,17.681884,4.147004,-5.500765,3.893554,4.848295
0.020000,14.639490,22.199143,17.762652,4.038401,-5.430130,3.531716,4.839719
0.020000,14.649156,22.121118,17.841274,3.931081,-5.365992,3.206904,4.831621
0.020000,14.657964,22.045128,17.917772,3.824928,-5.307664,2.916399,4.823972
0.020000,14.665979,21.971164,17.992169,3.719837,-5.254563,2.655071,4.816742
0.020000,14.673265,21.899218,18.064483,3.615714,-5.206151,2.420594,4.809903
0.020000,14.679877,21.829280,18.134733,3.512475,-5.161959,2.209609,4.803433
0.020000,14.685869,21.761343,18.202934,3.410043,-5.121570,2.019421,4.797309
0.020000,14.691289,21.695398,18.269101,3.308351,-5.084613,1.847871,4.791511
0.020000,14.696183,21.631439,18.333247,3.207336,-5.050757,1.692774,4.786021
0.020000,14.700593,21.569456,18.395386,3.106942,-5.019704,1.552659,4.780821
0.020000,14.704557,21.509445,18.455529,3.007118,-4.991202,1.425092,4.775895
