dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000159,20.268000,0.000224,0.022441,1.122064,56.103210,0.000024
0.020000,0.001170,20.268000,0.001235,0.050532,1.404517,14.122619,0.000179
0.020000,0.003444,20.268001,0.003509,0.113697,3.158265,87.687444,0.000526
0.020000,0.007487,20.268004,0.007552,0.202131,4.421682,63.170831,0.001143
0.020000,0.013551,20.268014,0.013616,0.303202,5.053583,31.595066,0.002070
0.020000,0.021636,20.268036,0.021701,0.404281,5.053956,0.018629,0.003305
0.020000,0.031744,20.268077,0.031809,0.505370,5.054435,0.023968,0.004850
0.020000,0.043873,20.268147,0.043938,0.606470,5.055005,0.028483,0.006705
0.020000,0.058024,20.268257,0.058090,0.707583,5.055647,0.032110,0.008870
0.020000,0.074197,20.268421,0.074264,0.808710,5.056337,0.034497,0.011345
0.020000,0.092393,20.268653,0.092461,0.909851,5.057048,0.035537,0.014131
0.020000,0.112610,20.268970,0.112681,1.011006,5.057747,0.034977,0.017228
0.020000,0.134850,20.269391,0.134925,1.112174,5.058399,0.032595,0.020637
0.020000,0.159111,20.269936,0.159192,1.213353,5.058963,0.028166,0.024357
0.020000,0.185393,20.270630,0.185482,1.314541,5.059392,0.021490,0.028390
0.020000,0.213694,20.271495,0.213797,1.415734,5.059637,0.012236,0.032735
0.020000,0.244014,20.272559,0.244136,1.516926,5.059643,0.000298,0.037392
0.020000,0.276350,20.273849,0.276498,1.618113,5.059349,-0.014725,0.042361
0.020000,0.310701,20.275396,0.310884,1.719287,5.058690,-0.032913,0.047642
0.020000,0.347064,20.277231,0.347292,1.820439,5.057597,-0.054679,0.053234
0.020000,0.385434,20.279389,0.385724,1.921559,5.055994,-0.080137,0.059136
0.020000,0.425809,20.281906,0.426176,2.022635,5.053802,-0.109601,0.065348
0.020000,0.468182,20.284817,0.468649,2.123654,5.050937,-0.143246,0.071866
0.020000,0.512548,20.288163,0.513141,2.224600,5.047310,-0.181343,0.078691
0.020000,0.558900,20.291985,0.559651,2.325457,5.042831,-0.223977,0.085818
0.020000,0.607230,20.296323,0.608175,2.426205,5.037402,-0.271449,0.093246
0.020000,0.657528,20.301223,0.658711,2.526823,5.030927,-0.323749,0.100970
0.020000,0.709784,20.306729,0.711257,2.627289,5.023305,-0.381076,0.108986
0.020000,0.763987,20.312888,0.765808,2.727578,5.014437,-0.443398,0.117290
