dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000142,21.000000,0.000224,0.022441,1.122064,56.103210,0.000024
0.020000,0.001039,21.000000,0.001122,0.067324,2.244128,56.103210,0.000179
0.020000,0.003059,21.000001,0.003142,0.134648,3.366193,56.103210,0.000526
0.020000,0.006650,21.000004,0.006732,0.224413,4.488257,56.103210,0.001143
0.020000,0.012035,21.000012,0.012118,0.314178,4.488257,0.000000,0.002070
0.020000,0.019217,21.000032,0.019300,0.403943,4.488257,0.000000,0.003305
0.020000,0.028193,21.000068,0.028276,0.493708,4.488257,0.000000,0.004850
0.020000,0.038965,21.000131,0.039048,0.583473,4.488257,0.000000,0.006705
0.020000,0.051531,21.000228,0.051615,0.673239,4.488257,-0.000000,0.008870
0.020000,0.065893,21.000374,0.065977,0.763004,4.488257,0.000000,0.011345
0.020000,0.082050,21.000579,0.082135,0.852769,4.488257,0.000000,0.014131
0.020000,0.100000,21.000861,0.100088,0.942534,4.488257,0.000000,0.017228
0.020000,0.119745,21.001235,0.119836,1.032299,4.488257,-0.000000,0.020637
0.020000,0.141283,21.001719,0.141380,1.122064,4.488257,0.000000,0.024357
0.020000,0.164614,21.002335,0.164719,1.211829,4.488257,-0.000000,0.028390
0.020000,0.189737,21.003103,0.189853,1.301594,4.488257,0.000000,0.032735
0.020000,0.216650,21.004047,0.216783,1.391360,4.488257,0.000000,0.037392
0.020000,0.245352,21.005192,0.245508,1.481125,4.488257,-0.000000,0.042361
0.020000,0.275841,21.006565,0.276028,1.570890,4.488257,0.000000,0.047642
0.020000,0.308115,21.008194,0.308343,1.660655,4.488257,0.000000,0.053234
0.020000,0.342172,21.010110,0.342454,1.750420,4.488257,-0.000000,0.059136
0.020000,0.378008,21.012343,0.378360,1.840185,4.488257,0.000000,0.065348
0.020000,0.415621,21.014928,0.416061,1.929950,4.488257,0.000000,0.071866
0.020000,0.455006,21.017898,0.455558,2.019716,4.488257,-0.000000,0.078691
0.020000,0.496158,21.021291,0.496850,2.109481,4.488257,0.000000,0.085818
0.020000,0.539073,21.025143,0.539937,2.199246,4.488257,-0.000000,0.093246
0.020000,0.583744,21.029495,0.584820,2.289011,4.488257,0.000000,0.100970
0.020000,0.630164,21.034386,0.631498,2.378776,4.488257,0.000000,0.108986
0.020000,0.678327,21.039859,0.679971,2.468541,4.488257,0.000000,0.117290
0.020000,0.728225,21.045956,0.730239,2.558306,4.488257,-0.000000,0.125876
0.020000,0.779847,21.052721,0.782303,2.648071,4.488257,0.000000,0.134738
0.020000,0.833184,21.060199,0.836162,2.737837,4.488257,0.000000,0.143868
0.020000,0.888225,21.068437,0.891817,2.827602,4.488257,0.000000,0.153258
0.020000,0.944958,21.077482,0.949266,2.917367,4.488257,-0.000000,0.162900
0.020000,1.003370,21.087379,1.008511,3.007132,4.488257,0.000000,0.172782
0.020000,1.063448,21.098177,1.069552,3.096897,4.488257,0.000000,0.182895
0.020000,1.125175,21.109925,1.132387,3.186662,4.488257,-0.000000,0.193226
0.020000,1.188536,21.122670,1.197018,3.276427,4.488257,0.000000,0.203762
0.020000,1.253515,21.136461,1.263444,3.366193,4.488257,-0.000000,0.214489
0.020000,1.320093,21.151346,1.331666,3.455958,4.488257,0.000000,0.225390
0.020000,1.388250,21.167371,1.401683,3.545723,4.488257,-0.000000,0.236451
0.020000,1.457968,21.184585,1.473495,3.635488,4.488257,0.000000,0.247653
0.020000,1.529226,21.203033,1.547102,3.725253,4.488257,-0.000000,0.258978
0.020000,1.602002,21.222760,1.622505,3.815018,4.488257,0.000000,0.270406
0.020000,1.676274,21.243811,1.699703,3.904783,4.488257,0.000000,0.281916
0.020000,1.752020,21.266226,1.778696,3.994549,4.488257,-0.000000,0.293487
0.020000,1.829216,21.290048,1.859485,4.084314,4.488257,0.000000,0.305097
0.020000,1.907840,21.315314,1.942069,4.174079,4.488257,0.000000,0.316722
0.020000,1.987867,21.342061,2.026448,4.263844,4.488257,-0.000000,0.328339
0.020000,2.069275,21.370323,2.112622,4.353609,4.488257,0.000000,0.339923
0.020000,2.152039,21.400133,2.200592,4.443374,4.488257,0.000000,0.351449
0.020000,2.236138,21.431519,2.290357,4.533139,4.488257,-0.000000,0.362891
0.020000,2.321549,21.464508,2.381918,4.622904,4.488257,0.000000,0.374224
0.020000,2.408249,21.499123,2.475274,4.712670,4.488257,-0.000000,0.385421
0.020000,2.496220,21.535383,2.570425,4.802435,4.488257,0.000000,0.396457
0.020000,2.585441,21.573307,2.667371,4.892200,4.488257,-0.000000,0.407305
0.020000,2.675893,21.612906,2.766113,4.981965,4.488257,0.000000,0.417938
0.020000,2.767562,21.654192,2.866650,5.071730,4.488257,0.000000,0.428331
0.020000,2.860431,21.697170,2.968982,5.161495,4.488257,-0.000000,0.438458
0.020000,2.954488,21.741843,3.073109,5.251260,4.488257,0.000000,0.448292
0.020000,3.049723,21.788211,3.179032,5.341026,4.488257,-0.000000,0.457808
0.020000,3.146127,21.836267,3.286750,5.430791,4.488257,0.000000,0.466981
0.020000,3.243694,21.886003,3.396264,5.520556,4.488257,-0.000000,0.475785
0.020000,3.342422,21.937407,3.507573,5.610321,4.488257,0.000000,0.484196
0.020000,3.442311,21.990460,3.620677,5.700086,4.488257,0.000000,0.492189
0.020000,3.543363,22.045143,3.735576,5.789851,4.488257,-0.000000,0.499740
0.020000,3.645585,22.101431,3.852271,5.879616,4.488257,0.000000,0.506824
0.020000,3.748987,22.159292,3.970761,5.969381,4.488257,-0.000000,0.513417
0.020000,3.853581,22.218695,4.091046,6.059147,4.488257,0.000000,0.519496
0.020000,3.959383,22.279599,4.213127,6.148912,4.488257,0.000000,0.525035
0.020000,4.066416,22.341964,4.337003,6.238677,4.488257,0.000000,0.530011
0.020000,4.174702,22.405739,4.462674,6.328442,4.488257,0.000000,0.534399
0.020000,4.284270,22.470874,4.590140,6.418207,4.488257,-0.000000,0.538175
0.020000,4.395152,22.537310,4.719402,6.507972,4.488257,0.000000,0.541311
0.020000,4.507385,22.604984,4.850459,6.597737,4.488257,-0.000000,0.543784
0.020000,4.621009,22.673827,4.983311,6.687503,4.488257,0.000000,0.545564
0.020000,4.736069,22.743764,5.117959,6.777268,4.488257,0.000000,0.546626
0.020000,4.852614,22.814714,5.254402,6.867033,4.488257,0.000000,0.546940
0.020000,4.970698,22.886589,5.392641,6.956798,4.488257,0.000000,0.546476
0.020000,5.090379,22.959293,5.532674,7.046563,4.488257,-0.000000,0.545202
0.020000,5.211718,23.032725,5.674503,7.136328,4.488257,0.000000,0.543087
0.020000,5.334783,23.106772,5.818127,7.226093,4.488257,0.000000,0.540097
