dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.605604,3.359780,0.000198,0.019752,0.987625,49.381236,0.011730
0.020000,1.605504,3.359779,0.000297,0.004972,-0.739001,-86.331290,0.012026
0.020000,1.605305,3.359776,0.000496,0.009940,0.248397,49.369925,0.012616
0.020000,1.606388,3.359791,0.001578,0.054119,2.208949,98.027584,0.013502
0.020000,1.609151,3.359830,0.004342,0.138169,4.202497,99.677410,0.014681
0.020000,1.612605,3.359883,0.007796,0.172740,1.728550,-123.697387,0.016154
0.020000,1.616751,3.359953,0.011943,0.207326,1.729280,0.036531,0.017920
0.020000,1.621589,3.360045,0.016782,0.241936,1.730519,0.061931,0.019976
0.020000,1.627119,3.360162,0.022313,0.276569,1.731632,0.055663,0.022321
0.020000,1.633342,3.360309,0.028538,0.311239,1.733520,0.094397,0.024954
0.020000,1.640259,3.360492,0.035457,0.345945,1.735293,0.088638,0.027872
0.020000,1.647869,3.360716,0.043070,0.380685,1.736991,0.084888,0.031073
0.020000,1.656174,3.360989,0.051380,0.415476,1.739552,0.128071,0.034555
0.020000,1.665174,3.361317,0.060386,0.450316,1.742002,0.122495,0.038314
0.020000,1.674871,3.361708,0.070091,0.485217,1.745052,0.152513,0.042346
0.020000,1.685264,3.362171,0.080494,0.520179,1.748115,0.153127,0.046648
0.020000,1.696355,3.362714,0.091599,0.555219,1.751984,0.193473,0.051215
0.020000,1.708145,3.363347,0.103405,0.590332,1.755630,0.182276,0.056044
0.020000,1.720634,3.364080,0.115916,0.625536,1.760233,0.230185,0.061128
0.020000,1.733824,3.364922,0.129133,0.660835,1.764951,0.235864,0.066462
0.020000,1.747715,3.365886,0.143057,0.696232,1.769851,0.245014,0.072040
0.020000,1.762309,3.366982,0.157692,0.731755,1.776132,0.314079,0.077855
0.020000,1.777607,3.368222,0.173040,0.767391,1.781778,0.282293,0.083900
0.020000,1.793609,3.369618,0.189103,0.803160,1.788490,0.335594,0.090166
0.020000,1.810318,3.371184,0.205885,0.839077,1.795839,0.367414,0.096646
0.020000,1.827733,3.372931,0.223388,0.875144,1.803329,0.374513,0.103330
0.020000,1.845857,3.374873,0.241615,0.911380,1.811793,0.423207,0.110209
0.020000,1.864690,3.377025,0.260571,0.947787,1.820390,0.429879,0.117272
0.020000,1.884234,3.379399,0.280259,0.984386,1.829938,0.477400,0.124507
0.020000,1.904490,3.382011,0.300682,1.021182,1.839779,0.492025,0.131903
0.020000,1.925459,3.384874,0.321846,1.058190,1.850390,0.530538,0.139448
0.020000,1.947143,3.388002,0.343755,1.095418,1.861431,0.552064,0.147128
0.020000,1.969543,3.391412,0.366412,1.132881,1.873117,0.584277,0.154929
0.020000,1.992660,3.395116,0.389824,1.170591,1.885536,0.620947,0.162837
0.020000,2.016495,3.399130,0.413995,1.208554,1.898162,0.631328,0.170836
0.020000,2.041051,3.403469,0.438931,1.246788,1.911656,0.674697,0.178911
0.020000,2.066327,3.408147,0.464637,1.285299,1.925550,0.694723,0.187045
0.020000,2.092327,3.413178,0.491119,1.324096,1.939886,0.716756,0.195222
0.020000,2.119051,3.418577,0.518383,1.363192,1.954805,0.745946,0.203422
0.020000,2.146501,3.424357,0.546435,1.402595,1.970123,0.765943,0.211629
0.020000,2.174678,3.430533,0.575281,1.442313,1.985903,0.788973,0.219822
0.020000,2.203585,3.437116,0.604928,1.482354,2.002040,0.806853,0.227985
0.020000,2.233223,3.444120,0.635382,1.522725,2.018565,0.826273,0.236095
0.020000,2.263595,3.451557,0.666651,1.563433,2.035402,0.841845,0.244134
0.020000,2.294702,3.459438,0.698741,1.604484,2.052542,0.857011,0.252081
0.020000,2.326546,3.467774,0.731658,1.645883,2.069936,0.869680,0.259916
0.020000,2.359131,3.476575,0.765411,1.687634,2.087589,0.882670,0.267617
0.020000,2.392460,3.485850,0.800006,1.729742,2.105389,0.889966,0.275163
0.020000,2.426535,3.495607,0.835450,1.772211,2.123437,0.902433,0.282534
0.020000,2.461359,3.505853,0.871751,1.815043,2.141608,0.908527,0.289706
0.020000,2.496938,3.516595,0.908916,1.858241,2.159915,0.915325,0.296660
0.020000,2.533275,3.527837,0.946952,1.901808,2.178332,0.920877,0.303371
0.020000,2.570375,3.539584,0.985867,1.945746,2.196904,0.928604,0.309820
0.020000,2.608243,3.551837,1.025668,1.990058,2.215585,0.934051,0.315982
0.020000,2.646885,3.564597,1.066363,2.034746,2.234388,0.940164,0.321837
0.020000,2.686309,3.577865,1.107959,2.079810,2.253233,0.942218,0.327362
0.020000,2.726521,3.591638,1.150464,2.125258,2.272396,0.958143,0.332533
0.020000,2.767529,3.605912,1.193886,2.171090,2.291577,0.959048,0.337328
0.020000,2.809343,3.620683,1.238232,2.217310,2.311002,0.971292,0.341724
0.020000,2.851972,3.635943,1.283511,2.263924,2.330702,0.984965,0.345698
0.020000,2.895428,3.651683,1.329730,2.310937,2.350637,0.996769,0.349226
0.020000,2.939723,3.667892,1.376897,2.358355,2.370908,1.013550,0.352283
0.020000,2.984869,3.684557,1.425020,2.406185,2.391530,1.031069,0.354846
0.020000,3.030881,3.701662,1.474109,2.454438,2.412616,1.054305,0.356889
0.020000,3.077775,3.719189,1.524172,2.503122,2.434202,1.079313,0.358386
0.020000,3.125568,3.737118,1.575217,2.552247,2.456290,1.104395,0.359312
0.020000,3.174065,3.755346,1.627026,2.590471,1.911191,-27.254942,0.359639
0.020000,3.222698,3.773627,1.678982,2.597795,0.366189,-77.250085,0.359354
0.020000,3.270948,3.791731,1.730516,2.576722,-1.053662,-70.992551,0.358473
0.020000,3.318659,3.809570,1.781452,2.546802,-1.495997,-22.116788,0.357022
0.020000,3.365830,3.827114,1.831781,2.516439,-1.518119,-1.106084,0.355028
0.020000,3.412464,3.844338,1.881494,2.485647,-1.539641,-1.076109,0.352516
0.020000,3.458559,3.861220,1.930583,2.454433,-1.560679,-1.051879,0.349512
0.020000,3.504113,3.877736,1.979039,2.422807,-1.581317,-1.031921,0.346039
0.020000,3.549125,3.893867,2.026854,2.390776,-1.601527,-1.010473,0.342122
0.020000,3.593592,3.909596,2.074021,2.358347,-1.621450,-0.996173,0.337784
0.020000,3.637510,3.924908,2.120532,2.325526,-1.641047,-0.979830,0.333050
0.020000,3.680875,3.939787,2.166378,2.292317,-1.660446,-0.969971,0.327941
0.020000,3.723681,3.954222,2.211553,2.258725,-1.679637,-0.959540,0.322481
0.020000,3.765923,3.968203,2.256048,2.224752,-1.698621,-0.949193,0.316691
0.020000,3.807593,3.981720,2.299856,2.190403,-1.717462,-0.942039,0.310596
0.020000,3.848685,3.994767,2.342969,2.155679,-1.736198,-0.936812,0.304216
0.020000,3.889191,4.007338,2.385381,2.120584,-1.754759,-0.928036,0.297575
0.020000,3.929102,4.019429,2.427083,2.085118,-1.773298,-0.926951,0.290693
0.020000,3.968410,4.031038,2.468069,2.049286,-1.791600,-0.915097,0.283593
0.020000,4.007104,4.042163,2.508331,2.013090,-1.809799,-0.909949,0.276296
0.020000,4.045175,4.052806,2.547862,1.976532,-1.827895,-0.904819,0.268824
0.020000,4.082613,4.062967,2.586654,1.939615,-1.845842,-0.897348,0.261199
0.020000,4.119407,4.072651,2.624701,1.902345,-1.863523,-0.884057,0.253440
0.020000,4.155546,4.081860,2.661995,1.864723,-1.881087,-0.878192,0.245570
0.020000,4.191020,4.090602,2.698530,1.826756,-1.898369,-0.864080,0.237608
0.020000,4.225817,4.098882,2.734299,1.788447,-1.915415,-0.852317,0.229575
0.020000,4.259927,4.106709,2.769295,1.749805,-1.932124,-0.835443,0.221491
0.020000,4.293338,4.114091,2.803512,1.710834,-1.948552,-0.821397,0.213376
0.020000,4.326039,4.121038,2.836943,1.671541,-1.964632,-0.804002,0.205247
0.020000,4.358019,4.127560,2.869582,1.631936,-1.980276,-0.782231,0.197125
0.020000,4.389268,4.133670,2.901422,1.592026,-1.995458,-0.759093,0.189026
0.020000,4.419775,4.139380,2.932458,1.551821,-2.010298,-0.741970,0.180970
0.020000,4.449529,4.144701,2.962685,1.511327,-2.024650,-0.717641,0.172972
0.020000,4.478521,4.149649,2.992096,1.470558,-2.038497,-0.692305,0.165049
0.020000,4.506741,4.154236,3.020687,1.429525,-2.051613,-0.655820,0.157217
0.020000,4.534180,4.158478,3.048451,1.388233,-2.064591,-0.648896,0.149491
0.020000,4.560829,4.162388,3.075385,1.346701,-2.076634,-0.602162,0.141885
0.020000,4.586679,4.165982,3.101484,1.304936,-2.088259,-0.581226,0.134414
