dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.609551,3.023253,0.000198,0.019752,0.987625,49.381236,0.011730
0.020000,1.609551,3.023253,0.000988,0.059257,1.975249,49.381236,0.012026
0.020000,1.609551,3.023253,0.002568,0.098762,1.975249,0.000000,0.012616
0.020000,1.610932,3.023271,0.004938,0.138267,1.975249,0.000000,0.013502
0.020000,1.614092,3.023316,0.008099,0.177772,1.975249,-0.000000,0.014681
0.020000,1.618042,3.023377,0.012049,0.217277,1.975249,0.000000,0.016154
0.020000,1.622782,3.023457,0.016790,0.256782,1.975249,0.000000,0.017920
0.020000,1.628311,3.023562,0.022320,0.296287,1.975249,0.000000,0.019976
0.020000,1.634631,3.023696,0.028641,0.335792,1.975249,0.000000,0.022321
0.020000,1.641740,3.023864,0.035752,0.375297,1.975249,0.000000,0.024954
0.020000,1.649638,3.024073,0.043653,0.414802,1.975249,-0.000000,0.027872
0.020000,1.658325,3.024329,0.052344,0.454307,1.975249,0.000000,0.031073
0.020000,1.667801,3.024640,0.061825,0.493812,1.975249,0.000000,0.034555
0.020000,1.678066,3.025014,0.072097,0.533317,1.975249,0.000000,0.038314
0.020000,1.689118,3.025460,0.083158,0.572822,1.975249,0.000000,0.042346
0.020000,1.700958,3.025987,0.095009,0.612327,1.975249,0.000000,0.046648
0.020000,1.713584,3.026606,0.107651,0.651832,1.975249,0.000000,0.051215
0.020000,1.726997,3.027326,0.121083,0.691337,1.975249,0.000000,0.056044
0.020000,1.741194,3.028158,0.135305,0.730842,1.975249,-0.000000,0.061128
0.020000,1.756175,3.029115,0.150316,0.770347,1.975249,0.000000,0.066462
0.020000,1.771939,3.030209,0.166118,0.809852,1.975249,-0.000000,0.072040
0.020000,1.788485,3.031451,0.182711,0.849357,1.975249,0.000000,0.077855
0.020000,1.805810,3.032856,0.200093,0.888862,1.975249,0.000000,0.083900
0.020000,1.823914,3.034435,0.218265,0.928367,1.975249,0.000000,0.090166
0.020000,1.842793,3.036204,0.237227,0.967872,1.975249,-0.000000,0.096646
0.020000,1.862447,3.038176,0.256980,1.007377,1.975249,0.000000,0.103330
0.020000,1.882873,3.040365,0.277523,1.046882,1.975249,-0.000000,0.110209
0.020000,1.904068,3.042787,0.298855,1.086387,1.975249,0.000000,0.117272
0.020000,1.926029,3.045455,0.320978,1.125892,1.975249,-0.000000,0.124507
0.020000,1.948754,3.048384,0.343891,1.165397,1.975249,0.000000,0.131903
0.020000,1.972239,3.051591,0.367594,1.204902,1.975249,-0.000000,0.139448
0.020000,1.996481,3.055088,0.392087,1.244407,1.975249,0.000000,0.147128
0.020000,2.021476,3.058893,0.417370,1.283912,1.975249,-0.000000,0.154929
0.020000,2.047221,3.063018,0.443443,1.323417,1.975249,0.000000,0.162837
0.020000,2.073711,3.067479,0.470307,1.362922,1.975249,-0.000000,0.170836
0.020000,2.100943,3.072291,0.497960,1.402427,1.975249,0.000000,0.178911
0.020000,2.128911,3.077467,0.526404,1.441932,1.975249,0.000000,0.187045
0.020000,2.157612,3.083021,0.555638,1.481437,1.975249,0.000000,0.195222
0.020000,2.187041,3.088966,0.585661,1.520942,1.975249,0.000000,0.203422
0.020000,2.217194,3.095316,0.616475,1.560447,1.975249,-0.000000,0.211629
0.020000,2.248065,3.102081,0.648079,1.599952,1.975249,0.000000,0.219822
0.020000,2.279650,3.109275,0.680473,1.639457,1.975249,0.000000,0.227985
0.020000,2.311945,3.116906,0.713658,1.678962,1.975249,-0.000000,0.236095
0.020000,2.344944,3.124987,0.747632,1.718467,1.975249,0.000000,0.244134
0.020000,2.378644,3.133525,0.782396,1.757972,1.975249,-0.000000,0.252081
0.020000,2.413039,3.142528,0.817951,1.797477,1.975249,0.000000,0.259916
0.020000,2.448127,3.152005,0.854295,1.836982,1.975249,-0.000000,0.267617
0.020000,2.483902,3.161960,0.891430,1.876487,1.975249,0.000000,0.275163
0.020000,2.520361,3.172400,0.929355,1.915992,1.975249,0.000000,0.282534
0.020000,2.557502,3.183328,0.968070,1.955497,1.975249,-0.000000,0.289706
0.020000,2.595321,3.194746,1.007575,1.995002,1.975249,0.000000,0.296660
0.020000,2.633815,3.206656,1.047870,2.034507,1.975249,0.000000,0.303371
0.020000,2.672984,3.219057,1.088955,2.074012,1.975249,0.000000,0.309820
0.020000,2.712826,3.231949,1.130830,2.113517,1.975249,0.000000,0.315982
0.020000,2.753339,3.245327,1.173496,2.153022,1.975249,0.000000,0.321837
0.020000,2.794525,3.259188,1.216951,2.192527,1.975249,0.000000,0.327362
0.020000,2.836383,3.273525,1.261197,2.232032,1.975249,-0.000000,0.332533
0.020000,2.878916,3.288330,1.306232,2.271537,1.975249,0.000000,0.337328
0.020000,2.922125,3.303593,1.352058,2.311042,1.975249,0.000000,0.341724
0.020000,2.966014,3.319304,1.398674,2.350547,1.975249,-0.000000,0.345698
0.020000,3.010586,3.335448,1.446080,2.390052,1.975249,0.000000,0.349226
0.020000,3.055847,3.352011,1.494276,2.429557,1.975249,0.000000,0.352283
0.020000,3.101802,3.368974,1.543262,2.469062,1.975249,0.000000,0.354846
0.020000,3.148459,3.386318,1.593039,2.508567,1.975249,0.000000,0.356889
0.020000,3.195825,3.404022,1.643605,2.548072,1.975249,-0.000000,0.358386
0.020000,3.243909,3.422061,1.694962,2.587577,1.975249,0.000000,0.359312
0.020000,3.292509,3.440327,1.746881,2.604364,0.839381,-56.793445,0.359639
0.020000,3.341053,3.458574,1.798741,2.581647,-1.135869,-98.762472,0.359354
0.020000,3.389025,3.476574,1.849979,2.542142,-1.975249,-41.969027,0.358473
0.020000,3.436278,3.494242,1.900427,2.502637,-1.975249,-0.000000,0.357022
0.020000,3.482821,3.511552,1.950084,2.463132,-1.975249,0.000000,0.355028
0.020000,3.528661,3.528484,1.998952,2.423627,-1.975249,0.000000,0.352516
0.020000,3.573807,3.545017,2.047030,2.384122,-1.975249,0.000000,0.349512
0.020000,3.618262,3.561135,2.094317,2.344617,-1.975249,0.000000,0.346039
0.020000,3.662034,3.576822,2.140814,2.305112,-1.975249,0.000000,0.342122
0.020000,3.705124,3.592064,2.186521,2.265607,-1.975249,-0.000000,0.337784
0.020000,3.747538,3.606851,2.231438,2.226102,-1.975249,0.000000,0.333050
0.020000,3.789276,3.621172,2.275565,2.186597,-1.975249,0.000000,0.327941
0.020000,3.830341,3.635020,2.318902,2.147092,-1.975249,-0.000000,0.322481
0.020000,3.870733,3.648389,2.361449,2.107587,-1.975249,0.000000,0.316691
0.020000,3.910452,3.661273,2.403206,2.068082,-1.975249,-0.000000,0.310596
0.020000,3.949497,3.673671,2.444172,2.028577,-1.975249,0.000000,0.304216
