dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.613499,2.686726,0.000198,0.019752,0.987625,49.381236,0.011730
0.020000,1.613598,2.686727,0.000297,0.004972,-0.739001,-86.331290,0.012026
0.020000,1.613797,2.686730,0.000496,0.009940,0.248397,49.369925,0.012616
0.020000,1.615476,2.686752,0.002174,0.083921,3.699013,172.530801,0.013502
0.020000,1.619033,2.686802,0.005732,0.177868,4.697382,49.918432,0.014681
0.020000,1.623478,2.686871,0.010178,0.222311,2.222152,-123.761485,0.016154
0.020000,1.628812,2.686962,0.015512,0.266732,2.221016,-0.056818,0.017920
0.020000,1.635034,2.687079,0.021735,0.311133,2.220072,-0.047194,0.019976
0.020000,1.642142,2.687230,0.028845,0.355503,2.218481,-0.079540,0.022321
0.020000,1.650137,2.687419,0.036842,0.399850,2.217372,-0.055454,0.024954
0.020000,1.659017,2.687653,0.045725,0.444162,2.215569,-0.090178,0.027872
0.020000,1.668781,2.687941,0.055494,0.488423,2.213088,-0.124029,0.031073
0.020000,1.679428,2.688291,0.066147,0.532645,2.211097,-0.099576,0.034555
0.020000,1.690957,2.688711,0.077683,0.576811,2.208301,-0.139773,0.038314
0.020000,1.703365,2.689212,0.090101,0.620923,2.205571,-0.136526,0.042346
0.020000,1.716651,2.689803,0.103401,0.664965,2.202106,-0.173245,0.046648
0.020000,1.730813,2.690497,0.117580,0.708942,2.198875,-0.161541,0.051215
0.020000,1.745848,2.691304,0.132636,0.752833,2.194512,-0.218162,0.056044
0.020000,1.761754,2.692237,0.148569,0.796642,2.190475,-0.201806,0.061128
0.020000,1.778527,2.693308,0.165376,0.840355,2.185638,-0.241870,0.066462
0.020000,1.796163,2.694532,0.183055,0.883956,2.180041,-0.279875,0.072040
0.020000,1.814661,2.695921,0.201604,0.927459,2.175155,-0.244294,0.077855
0.020000,1.834014,2.697490,0.221021,0.970826,2.168374,-0.339060,0.083900
0.020000,1.854218,2.699253,0.241302,1.014062,2.161812,-0.328058,0.090166
0.020000,1.875269,2.701225,0.262445,1.057160,2.154882,-0.346506,0.096646
0.020000,1.897161,2.703421,0.284447,1.100099,2.146923,-0.397959,0.103330
0.020000,1.919889,2.705857,0.307305,1.142878,2.138950,-0.398664,0.110209
0.020000,1.943445,2.708548,0.331014,1.185475,2.129878,-0.453565,0.117272
0.020000,1.967823,2.711510,0.355572,1.227889,2.120712,-0.458302,0.124507
0.020000,1.993017,2.714758,0.380974,1.270102,2.110613,-0.504964,0.131903
0.020000,2.019018,2.718307,0.407216,1.312105,2.100170,-0.522175,0.139448
0.020000,2.045818,2.722174,0.434294,1.353884,2.088959,-0.560533,0.147128
0.020000,2.073409,2.726374,0.462203,1.395429,2.077255,-0.585203,0.154929
0.020000,2.101782,2.730920,0.490937,1.436733,2.065181,-0.603684,0.162837
0.020000,2.130927,2.735829,0.520493,1.477775,2.052117,-0.653236,0.170836
0.020000,2.160834,2.741113,0.550864,1.518553,2.038903,-0.660670,0.178911
0.020000,2.191495,2.746787,0.582045,1.559053,2.025008,-0.694758,0.187045
0.020000,2.222898,2.752864,0.614030,1.599264,2.010530,-0.723919,0.195222
0.020000,2.255032,2.759356,0.646814,1.639178,1.995695,-0.741721,0.203422
0.020000,2.287887,2.766274,0.680389,1.678785,1.980342,-0.767664,0.211629
0.020000,2.321452,2.773630,0.714751,1.718077,1.964608,-0.786714,0.219822
0.020000,2.355716,2.781433,0.749892,1.757046,1.948437,-0.808506,0.227985
0.020000,2.390667,2.789693,0.785806,1.795684,1.931939,-0.824915,0.236095
0.020000,2.426294,2.798416,0.822485,1.833986,1.915093,-0.842296,0.244134
0.020000,2.462586,2.807611,0.859924,1.871946,1.897962,-0.856571,0.252081
0.020000,2.499533,2.817282,0.898115,1.909557,1.880556,-0.870291,0.259916
0.020000,2.537122,2.827435,0.937052,1.946816,1.862949,-0.880340,0.267617
0.020000,2.575344,2.838071,0.976726,1.983717,1.845071,-0.893903,0.275163
0.020000,2.614188,2.849194,1.017131,2.020259,1.827096,-0.898764,0.282534
0.020000,2.653644,2.860803,1.058260,2.056438,1.808924,-0.908610,0.289706
0.020000,2.693704,2.872897,1.100105,2.092250,1.790609,-0.915717,0.296660
0.020000,2.734356,2.885474,1.142659,2.127693,1.772153,-0.922828,0.303371
0.020000,2.775594,2.898531,1.185914,2.162765,1.753619,-0.926678,0.309820
0.020000,2.817409,2.912061,1.229863,2.197464,1.734962,-0.932876,0.315982
0.020000,2.859793,2.926057,1.274499,2.231788,1.716187,-0.938737,0.321837
0.020000,2.902741,2.940511,1.319814,2.265732,1.697186,-0.950063,0.327362
0.020000,2.946246,2.955411,1.365800,2.299296,1.678226,-0.947984,0.332533
0.020000,2.990303,2.970747,1.412449,2.332475,1.658932,-0.964691,0.337328
0.020000,3.034907,2.986503,1.459755,2.365265,1.639490,-0.972096,0.341724
0.020000,3.080055,3.002664,1.507708,2.397662,1.619855,-0.981749,0.345698
0.020000,3.125743,3.019213,1.556301,2.429660,1.599901,-0.997708,0.349226
0.020000,3.171971,3.036129,1.605526,2.461253,1.579636,-1.013239,0.352283
0.020000,3.218735,3.053391,1.655375,2.492432,1.558969,-1.033354,0.354846
0.020000,3.266036,3.070975,1.705838,2.523190,1.537903,-1.053304,0.356889
0.020000,3.313874,3.088855,1.756909,2.553517,1.516352,-1.077582,0.358386
0.020000,3.362250,3.107003,1.808577,2.583401,1.494190,-1.108076,0.359312
0.020000,3.410953,3.125309,1.860606,2.601470,0.903462,-29.536379,0.359639
0.020000,3.459407,3.143522,1.912371,2.588217,-0.662676,-78.306913,0.359354
0.020000,3.507102,3.161418,1.963312,2.547067,-2.057474,-69.739922,0.358473
0.020000,3.553897,3.178914,2.013271,2.497977,-2.454498,-19.851182,0.357022
0.020000,3.599811,3.195991,2.062258,2.449329,-2.432427,1.103552,0.355028
0.020000,3.644859,3.212629,2.110280,2.401111,-2.410870,1.077821,0.352516
0.020000,3.689054,3.228815,2.157347,2.353315,-2.389819,1.052563,0.349512
0.020000,3.732411,3.244535,2.203465,2.305930,-2.369238,1.029067,0.346039
0.020000,3.774942,3.259777,2.248644,2.258950,-2.348988,1.012482,0.342122
0.020000,3.816656,3.274533,2.292892,2.212368,-2.329105,0.994145,0.337784
0.020000,3.857565,3.288795,2.336215,2.166179,-2.309459,0.982292,0.333050
0.020000,3.897677,3.302558,2.378623,2.120377,-2.290092,0.968359,0.327941
0.020000,3.937000,3.315819,2.420122,2.074959,-2.270924,0.958412,0.322481
0.020000,3.975542,3.328575,2.460720,2.029921,-2.251901,0.951173,0.316691
0.020000,4.013310,3.340827,2.500425,1.985260,-2.233037,0.943183,0.310596
0.020000,4.050310,3.352574,2.539245,1.940973,-2.214336,0.935047,0.304216
0.020000,4.086546,3.363820,2.577186,1.897059,-2.195714,0.931088,0.297575
0.020000,4.122024,3.374569,2.614256,1.853513,-2.177302,0.920625,0.290693
0.020000,4.156747,3.384824,2.650463,1.810335,-2.158910,0.919612,0.283593
0.020000,4.190721,3.394592,2.685813,1.767521,-2.140672,0.911877,0.276296
0.020000,4.223949,3.403881,2.720315,1.725069,-2.122612,0.902992,0.268824
0.020000,4.256433,3.412698,2.753974,1.682975,-2.104721,0.894579,0.261199
0.020000,4.288177,3.421052,2.786799,1.641236,-2.086936,0.889203,0.253440
0.020000,4.319183,3.428954,2.818796,1.599847,-2.069435,0.875070,0.245570
0.020000,4.349453,3.436413,2.849972,1.558805,-2.052125,0.865503,0.237608
0.020000,4.378991,3.443442,2.880334,1.518103,-2.035102,0.851139,0.229575
0.020000,4.407797,3.450052,2.909889,1.477736,-2.018338,0.838230,0.221491
0.020000,4.435874,3.456255,2.938643,1.437697,-2.001938,0.819960,0.213376
0.020000,4.463223,3.462066,2.966602,1.397979,-1.985907,0.801582,0.205247
0.020000,4.489846,3.467496,2.993774,1.358574,-1.970228,0.783953,0.197125
0.020000,4.515745,3.472560,3.020163,1.319476,-1.954935,0.764629,0.189026
0.020000,4.540922,3.477272,3.045777,1.280672,-1.940181,0.737694,0.180970
0.020000,4.565377,3.481646,3.070620,1.242154,-1.925894,0.714347,0.172972
0.020000,4.589112,3.485696,3.094698,1.203912,-1.912102,0.689637,0.165049
0.020000,4.612128,3.489438,3.118017,1.165939,-1.898660,0.672095,0.157217
0.020000,4.634428,3.492885,3.140581,1.128217,-1.886083,0.628818,0.149491
0.020000,4.656012,3.496052,3.162396,1.090742,-1.873749,0.616723,0.141885
0.020000,4.676881,3.498954,3.183466,1.053500,-1.862097,0.582608,0.134414
0.020000,4.697037,3.501604,3.203796,1.016477,-1.851188,0.545437,0.127091
0.020000,4.716481,3.504018,3.223389,0.979668,-1.840428,0.537998,0.119927
0.020000,4.735214,3.506210,3.242250,0.943052,-1.830786,0.482104,0.112936
0.020000,4.753238,3.508192,3.260383,0.906626,-1.821330,0.472797,0.106127
0.020000,4.770554,3.509979,3.277790,0.870374,-1.812614,0.435807,0.099512
0.020000,4.787162,3.511583,3.294476,0.834292,-1.804100,0.425713,0.093100
0.020000,4.803065,3.513018,3.310443,0.798358,-1.796680,0.370999,0.086900
0.020000,4.818262,3.514297,3.325694,0.762568,-1.789504,0.358764,0.080921
0.020000,4.832756,3.515430,3.340233,0.726908,-1.782980,0.326204,0.075171
