dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.086913,6.462772,0.000652,0.065206,3.260290,163.014495,0.001188
0.020000,0.087291,6.462773,0.001031,0.018929,-2.313833,-278.706160,0.000908
0.020000,0.088048,6.462773,0.001787,0.037839,0.945498,162.966579,0.000347
0.020000,0.093776,6.462772,0.007515,0.286395,12.427805,574.115329,6.282692
0.020000,0.105720,6.462759,0.019459,0.597184,15.539436,155.581566,6.281573
0.020000,0.120647,6.462725,0.034386,0.746366,7.459128,-404.015399,6.280176
0.020000,0.138556,6.462656,0.052295,0.895454,7.454382,-0.237321,6.278502
0.020000,0.159445,6.462538,0.073185,1.044454,7.450013,-0.218453,6.276553
0.020000,0.183310,6.462353,0.097051,1.193319,7.443256,-0.337826,6.274330
0.020000,0.210150,6.462082,0.123892,1.342072,7.437603,-0.282651,6.271836
0.020000,0.239961,6.461702,0.153706,1.490665,7.429654,-0.397472,6.269072
0.020000,0.272738,6.461190,0.186487,1.639054,7.419455,-0.509916,6.266042
0.020000,0.308477,6.460518,0.222232,1.787266,7.410634,-0.441052,6.262748
0.020000,0.347173,6.459659,0.260937,1.935237,7.398536,-0.604907,6.259194
0.020000,0.388818,6.458580,0.302596,2.082968,7.386520,-0.600831,6.255384
0.020000,0.433406,6.457249,0.347204,2.230409,7.372061,-0.722926,6.251321
0.020000,0.480930,6.455632,0.394756,2.377576,7.358361,-0.685025,6.247010
0.020000,0.531380,6.453691,0.445243,2.524378,7.340125,-0.911791,6.242456
0.020000,0.584747,6.451388,0.498660,2.670835,7.322817,-0.865409,6.237665
0.020000,0.641020,6.448683,0.554998,2.816892,7.302848,-0.998440,6.232641
0.020000,0.700187,6.445534,0.614248,2.962508,7.280815,-1.101636,6.227393
0.020000,0.762234,6.441898,0.676402,3.107687,7.258935,-1.093980,6.221925
0.020000,0.827147,6.437731,0.741449,3.252349,7.233086,-1.292481,6.216247
0.020000,0.894911,6.432988,0.809378,3.396469,7.206019,-1.353343,6.210365
0.020000,0.965508,6.427622,0.880179,3.540038,7.178461,-1.377890,6.204289
0.020000,1.038920,6.421586,0.953838,3.682959,7.146037,-1.621203,6.198027
0.020000,1.115126,6.414833,1.030343,3.825258,7.114949,-1.554382,6.191589
0.020000,1.194106,6.407315,1.109680,3.966841,7.079165,-1.789220,6.184985
0.020000,1.275837,6.398984,1.191834,4.107707,7.043299,-1.793321,6.178227
0.020000,1.360293,6.389791,1.276790,4.247772,7.003231,-2.003374,6.171326
0.020000,1.447451,6.379690,1.364530,4.387038,6.963311,-1.996006,6.164293
0.020000,1.537281,6.368632,1.455039,4.525432,6.919680,-2.181562,6.157142
0.020000,1.629757,6.356572,1.548298,4.662924,6.874625,-2.252725,6.149886
0.020000,1.724847,6.343464,1.644287,4.799489,6.828235,-2.319502,6.142540
0.020000,1.822522,6.329265,1.742988,4.935056,6.778337,-2.494897,6.135116
0.020000,1.922747,6.313930,1.844381,5.069611,6.727785,-2.527624,6.127632
0.020000,2.025492,6.297420,1.948443,5.203111,6.674976,-2.640430,6.120101
0.020000,2.130719,6.279694,2.055153,5.335515,6.620203,-2.738659,6.112541
0.020000,2.238396,6.260718,2.164489,5.466796,6.564039,-2.808219,6.104968
0.020000,2.348485,6.240456,2.276427,5.596917,6.506054,-2.899258,6.097400
0.020000,2.460950,6.218876,2.390944,5.725851,6.446708,-2.967299,6.089853
0.020000,2.575755,6.195950,2.508016,5.853568,6.385867,-3.042016,6.082346
0.020000,2.692862,6.171652,2.627617,5.980044,6.323775,-3.104608,6.074898
0.020000,2.812233,6.145960,2.749722,6.105253,6.260491,-3.164213,6.067526
0.020000,2.933833,6.118855,2.874305,6.229175,6.196076,-3.220721,6.060251
0.020000,3.057623,6.090322,3.001341,6.351788,6.130667,-3.270457,6.053091
0.020000,3.183567,6.060351,3.130803,6.473078,6.064472,-3.309779,6.046067
0.020000,3.311630,6.028933,3.262663,6.593024,5.997315,-3.357834,6.039197
0.020000,3.441777,5.996067,3.396895,6.711615,5.929555,-3.388006,6.032503
0.020000,3.573973,5.961754,3.533472,6.828835,5.861017,-3.426916,6.026004
0.020000,3.708185,5.926000,3.672366,6.944675,5.791977,-3.451999,6.019721
0.020000,3.844383,5.888817,3.813548,7.059116,5.722058,-3.495917,6.013674
0.020000,3.982536,5.850219,3.956991,7.172156,5.651968,-3.504512,6.007885
0.020000,4.122615,5.810229,4.102666,7.283774,5.580945,-3.551152,6.002375
0.020000,4.264593,5.768872,4.250546,7.393963,5.509449,-3.574808,5.997164
0.020000,4.408446,5.726179,4.400600,7.502712,5.437418,-3.601536,5.992274
