dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.088517,5.112773,0.000652,0.065206,3.260290,163.014495,0.001188
0.020000,0.088517,5.112773,0.003260,0.195617,6.520580,163.014495,0.000908
0.020000,0.088517,5.112773,0.008477,0.326029,6.520580,-0.000000,0.000347
0.020000,0.093110,5.112772,0.016301,0.456441,6.520580,0.000000,6.282692
0.020000,0.103543,5.112761,0.026734,0.586852,6.520580,0.000000,6.281573
0.020000,0.116584,5.112731,0.039776,0.717264,6.520580,-0.000000,6.280176
0.020000,0.132233,5.112671,0.055425,0.847675,6.520580,0.000000,6.278502
0.020000,0.150491,5.112568,0.073683,0.978087,6.520580,0.000000,6.276553
0.020000,0.171356,5.112406,0.094548,1.108499,6.520580,-0.000000,6.274330
0.020000,0.194829,5.112169,0.118022,1.238910,6.520580,0.000000,6.271836
0.020000,0.220909,5.111837,0.144105,1.369322,6.520580,-0.000000,6.269072
0.020000,0.249596,5.111388,0.172795,1.499733,6.520580,0.000000,6.266042
0.020000,0.280889,5.110800,0.204094,1.630145,6.520580,0.000000,6.262748
0.020000,0.314788,5.110047,0.238001,1.760557,6.520580,0.000000,6.259194
0.020000,0.351291,5.109102,0.274516,1.890968,6.520580,-0.000000,6.255384
0.020000,0.390397,5.107934,0.313640,2.021380,6.520580,0.000000,6.251321
0.020000,0.432104,5.106515,0.355372,2.151791,6.520580,0.000000,6.247010
0.020000,0.476412,5.104810,0.399712,2.282203,6.520580,-0.000000,6.242456
0.020000,0.523316,5.102786,0.446660,2.412615,6.520580,0.000000,6.237665
0.020000,0.572815,5.100407,0.496216,2.543026,6.520580,0.000000,6.232641
0.020000,0.624906,5.097634,0.548381,2.673438,6.520580,-0.000000,6.227393
0.020000,0.679585,5.094430,0.603154,2.803849,6.520580,0.000000,6.221925
0.020000,0.736848,5.090754,0.660535,2.934261,6.520580,0.000000,6.216247
0.020000,0.796691,5.086566,0.720524,3.064673,6.520580,-0.000000,6.210365
0.020000,0.859108,5.081821,0.783122,3.195084,6.520580,0.000000,6.204289
0.020000,0.924095,5.076478,0.848327,3.325496,6.520580,0.000000,6.198027
0.020000,0.991644,5.070492,0.916141,3.455907,6.520580,-0.000000,6.191589
0.020000,1.061749,5.063819,0.986564,3.586319,6.520580,0.000000,6.184985
0.020000,1.134403,5.056413,1.059594,3.716730,6.520580,-0.000000,6.178227
0.020000,1.209597,5.048228,1.135233,3.847142,6.520580,-0.000000,6.171326
0.020000,1.287324,5.039220,1.213480,3.977554,6.520580,0.000000,6.164293
0.020000,1.367573,5.029342,1.294335,4.107965,6.520580,0.000000,6.157142
0.020000,1.450336,5.018548,1.377799,4.238377,6.520580,0.000000,6.149886
0.020000,1.535601,5.006795,1.463870,4.368788,6.520580,0.000000,6.142540
0.020000,1.623358,4.994037,1.552550,4.499200,6.520580,0.000000,6.135116
0.020000,1.713596,4.980230,1.643838,4.629612,6.520580,-0.000000,6.127632
0.020000,1.806302,4.965332,1.737735,4.760023,6.520580,0.000000,6.120101
0.020000,1.901466,4.949302,1.834239,4.890435,6.520580,0.000000,6.112541
0.020000,1.999074,4.932100,1.933352,5.020846,6.520580,0.000000,6.104968
0.020000,2.099115,4.913687,2.035073,5.151258,6.520580,0.000000,6.097400
0.020000,2.201575,4.894027,2.139402,5.281670,6.520580,0.000000,6.089853
0.020000,2.306441,4.873085,2.246340,5.412081,6.520580,-0.000000,6.082346
0.020000,2.413702,4.850830,2.355885,5.542493,6.520580,0.000000,6.074898
0.020000,2.523345,4.827232,2.468039,5.672904,6.520580,0.000000,6.067526
