dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.090121,3.762774,0.000652,0.065206,3.260290,163.014495,0.001188
0.020000,0.089742,3.762774,0.001031,0.018929,-2.313833,-278.706160,0.000908
0.020000,0.088985,3.762773,0.001787,0.037839,0.945498,162.966579,0.000347
0.020000,0.092444,3.762772,0.005247,0.172965,6.756305,290.540358,6.282692
0.020000,0.101367,3.762763,0.014169,0.446103,13.656889,345.029158,6.281573
0.020000,0.112522,3.762737,0.025324,0.557754,5.582569,-403.715961,6.280176
0.020000,0.125911,3.762686,0.038713,0.669478,5.586158,0.179405,6.278502
0.020000,0.141537,3.762597,0.054340,0.781309,5.591576,0.270905,6.276553
0.020000,0.159401,3.762459,0.072205,0.893245,5.596821,0.262264,6.274330
0.020000,0.179507,3.762256,0.092311,1.005337,5.604580,0.387948,6.271836
0.020000,0.201857,3.761971,0.114663,1.117585,5.612392,0.390614,6.269072
0.020000,0.226454,3.761587,0.139263,1.229993,5.620382,0.399473,6.266042
0.020000,0.253301,3.761082,0.166115,1.342620,5.631369,0.549354,6.262748
0.020000,0.282403,3.760436,0.195224,1.455459,5.641968,0.529962,6.259194
0.020000,0.313764,3.759623,0.226595,1.568556,5.654814,0.642287,6.255384
0.020000,0.347387,3.758620,0.260234,1.681918,5.668126,0.665615,6.251321
0.020000,0.383279,3.757398,0.296146,1.795607,5.684439,0.815641,6.247010
0.020000,0.421443,3.755930,0.334338,1.909604,5.699882,0.772150,6.242456
0.020000,0.461885,3.754185,0.374818,2.023979,5.718704,0.941109,6.237665
0.020000,0.504610,3.752131,0.417593,2.138745,5.738320,0.980792,6.232641
0.020000,0.549625,3.749735,0.462671,2.253931,5.759299,1.048956,6.227393
0.020000,0.596936,3.746963,0.510063,2.369600,5.783449,1.207510,6.221925
0.020000,0.646549,3.743778,0.559778,2.485755,5.807746,1.214823,6.216247
0.020000,0.698471,3.740143,0.611827,2.602443,5.834386,1.332046,6.210365
0.020000,0.752709,3.736021,0.666222,2.719723,5.864033,1.482335,6.204289
0.020000,0.809270,3.731370,0.722973,2.837591,5.893411,1.468902,6.198027
0.020000,0.868162,3.726152,0.782096,2.956139,5.927361,1.697499,6.191589
0.020000,0.929392,3.720323,0.843603,3.075365,5.961296,1.696758,6.184985
