dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.087449,5.389598,0.000653,0.065296,3.264804,163.240202,0.000791
0.020000,0.087737,5.389598,0.000941,0.014417,-2.543976,-290.439005,0.000577
0.020000,0.088314,5.389599,0.001518,0.028813,0.719829,163.190228,0.000150
0.020000,0.095171,5.389597,0.008375,0.342867,15.702713,749.144204,6.282696
0.020000,0.106768,5.389586,0.019972,0.579842,11.848712,-192.700045,6.281845
0.020000,0.121261,5.389559,0.034465,0.724657,7.240769,-230.397159,6.280782
0.020000,0.138649,5.389506,0.051853,0.869388,7.236573,-0.209761,6.279511
0.020000,0.158928,5.389417,0.072132,1.013991,7.230139,-0.321697,6.278032
0.020000,0.182097,5.389278,0.095302,1.158470,7.223963,-0.308819,6.276347
0.020000,0.208152,5.389075,0.121358,1.302794,7.216161,-0.390113,6.274458
0.020000,0.237089,5.388792,0.150296,1.446929,7.206762,-0.469917,6.272369
0.020000,0.268905,5.388412,0.182114,1.590889,7.197981,-0.439059,6.270082
0.020000,0.303594,5.387914,0.216806,1.734613,7.186238,-0.587178,6.267601
0.020000,0.341150,5.387278,0.254368,1.878102,7.174409,-0.591444,6.264928
0.020000,0.381569,5.386483,0.294795,2.021333,7.161586,-0.641118,6.262068
0.020000,0.424843,5.385503,0.338080,2.164269,7.146809,-0.738867,6.259025
0.020000,0.470966,5.384314,0.384218,2.306898,7.131433,-0.768803,6.255804
0.020000,0.519929,5.382889,0.433202,2.449190,7.114592,-0.842071,6.252410
0.020000,0.571724,5.381202,0.485025,2.591129,7.096945,-0.882306,6.248847
0.020000,0.626342,5.379224,0.539678,2.732675,7.077289,-0.982822,6.245122
0.020000,0.683772,5.376925,0.597155,2.873815,7.057025,-1.013177,6.241241
0.020000,0.744004,5.374276,0.657445,3.014515,7.035018,-1.100397,6.237210
0.020000,0.807026,5.371244,0.720540,3.154750,7.011736,-1.164061,6.233037
0.020000,0.872826,5.367799,0.786430,3.294494,6.987214,-1.226104,6.228727
0.020000,0.941390,5.363909,0.855104,3.433724,6.961453,-1.288084,6.224290
0.020000,1.012705,5.359540,0.926552,3.572403,6.933976,-1.373826,6.219733
0.020000,1.086754,5.354662,1.000762,3.710505,6.905083,-1.444655,6.215065
0.020000,1.163523,5.349239,1.077723,3.848008,6.875144,-1.496937,6.210294
0.020000,1.242995,5.343242,1.157420,3.984882,6.843723,-1.571039,6.205430
0.020000,1.325152,5.336635,1.239842,4.121096,6.810680,-1.652179,6.200483
0.020000,1.409975,5.329389,1.324975,4.256621,6.776288,-1.719594,6.195463
0.020000,1.497446,5.321472,1.412803,4.391436,6.740737,-1.777531,6.190380
0.020000,1.587545,5.312852,1.503313,4.525511,6.703753,-1.849230,6.185246
0.020000,1.680251,5.303500,1.596490,4.658817,6.665301,-1.922595,6.180071
0.020000,1.775542,5.293387,1.692316,4.791330,6.625643,-1.982876,6.174868
0.020000,1.873398,5.282487,1.790777,4.923024,6.584697,-2.047330,6.169649
0.020000,1.973794,5.270772,1.891854,5.053874,6.542507,-2.109470,6.164426
0.020000,2.076708,5.258219,1.995532,5.183855,6.499052,-2.172750,6.159212
0.020000,2.182117,5.244804,2.101790,5.312945,6.454487,-2.228249,6.154020
0.020000,2.289996,5.230508,2.210613,5.441119,6.408708,-2.288960,6.148864
0.020000,2.400322,5.215310,2.321980,5.568356,6.361866,-2.342131,6.143758
0.020000,2.513068,5.199196,2.435873,5.694635,6.313943,-2.396128,6.138715
0.020000,2.628212,5.182151,2.552271,5.819935,6.264990,-2.447646,6.133751
0.020000,2.745728,5.164163,2.671156,5.944236,6.215026,-2.498207,6.128881
