dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.088517,4.039599,0.000653,0.065296,3.264804,163.240202,0.000791
0.020000,0.088517,4.039599,0.003265,0.195888,6.529608,163.240202,0.000577
0.020000,0.088517,4.039599,0.008488,0.326480,6.529608,-0.000000,0.000150
0.020000,0.094511,4.039597,0.016324,0.457073,6.529608,0.000000,6.282696
0.020000,0.104958,4.039588,0.026771,0.587665,6.529608,0.000000,6.281845
0.020000,0.118017,4.039563,0.039831,0.718257,6.529608,-0.000000,6.280782
0.020000,0.133688,4.039515,0.055502,0.848849,6.529608,0.000000,6.279511
0.020000,0.151971,4.039435,0.073785,0.979441,6.529608,0.000000,6.278032
0.020000,0.172865,4.039309,0.094679,1.110033,6.529608,-0.000000,6.276347
0.020000,0.196371,4.039126,0.118186,1.240626,6.529608,0.000000,6.274458
0.020000,0.222488,4.038871,0.144304,1.371218,6.529608,-0.000000,6.272369
0.020000,0.251216,4.038528,0.173035,1.501810,6.529608,0.000000,6.270082
0.020000,0.282555,4.038078,0.204377,1.632402,6.529608,-0.000000,6.267601
0.020000,0.316504,4.037503,0.238331,1.762994,6.529608,-0.000000,6.264928
0.020000,0.353063,4.036784,0.274897,1.893586,6.529608,0.000000,6.262068
0.020000,0.392231,4.035897,0.314074,2.024179,6.529608,-0.000000,6.259025
0.020000,0.434006,4.034820,0.355864,2.154771,6.529608,0.000000,6.255804
0.020000,0.478389,4.033529,0.400265,2.285363,6.529608,0.000000,6.252410
0.020000,0.525377,4.031998,0.447278,2.415955,6.529608,0.000000,6.248847
0.020000,0.574969,4.030202,0.496903,2.546547,6.529608,0.000000,6.245122
0.020000,0.627164,4.028113,0.549140,2.677139,6.529608,0.000000,6.241241
0.020000,0.681960,4.025702,0.603989,2.807731,6.529608,0.000000,6.237210
0.020000,0.739354,4.022941,0.661449,2.938324,6.529608,-0.000000,6.233037
0.020000,0.799344,4.019801,0.721522,3.068916,6.529608,0.000000,6.228727
0.020000,0.861928,4.016249,0.784206,3.199508,6.529608,0.000000,6.224290
0.020000,0.927102,4.012257,0.849502,3.330100,6.529608,0.000000,6.219733
0.020000,0.994863,4.007793,0.917410,3.460692,6.529608,0.000000,6.215065
0.020000,1.065207,4.002824,0.987930,3.591284,6.529608,0.000000,6.210294
0.020000,1.138131,3.997320,1.061061,3.721877,6.529608,-0.000000,6.205430
0.020000,1.213631,3.991250,1.136805,3.852469,6.529608,0.000000,6.200483
0.020000,1.291702,3.984580,1.215160,3.983061,6.529608,0.000000,6.195463
0.020000,1.372339,3.977281,1.296127,4.113653,6.529608,0.000000,6.190380
0.020000,1.455538,3.969321,1.379706,4.244245,6.529608,-0.000000,6.185246
0.020000,1.541294,3.960670,1.465897,4.374837,6.529608,-0.000000,6.180071
0.020000,1.629600,3.951299,1.554700,4.505430,6.529608,0.000000,6.174868
0.020000,1.720453,3.941179,1.646114,4.636022,6.529608,0.000000,6.169649
0.020000,1.813845,3.930281,1.740141,4.766614,6.529608,0.000000,6.164426
