dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.089584,2.689599,0.000653,0.065296,3.264804,163.240202,0.000791
0.020000,0.089296,2.689599,0.000941,0.014417,-2.543976,-290.439005,0.000577
0.020000,0.088720,2.689599,0.001518,0.028813,0.719829,163.190228,0.000150
0.020000,0.093850,2.689597,0.006648,0.256524,11.385558,533.286457,6.282696
0.020000,0.103148,2.689589,0.015946,0.464895,10.418552,-48.350261,6.281845
0.020000,0.114773,2.689567,0.027571,0.581258,5.818111,-230.022091,6.280782
0.020000,0.128728,2.689525,0.041526,0.697723,5.823294,0.259163,6.279511
0.020000,0.145013,2.689453,0.057811,0.814292,5.828448,0.257685,6.278032
0.020000,0.163633,2.689341,0.076432,0.931004,5.835605,0.357881,6.276347
0.020000,0.184590,2.689178,0.097389,1.047870,5.843289,0.384205,6.274458
0.020000,0.207887,2.688950,0.120687,1.164901,5.851560,0.413533,6.272369
0.020000,0.233528,2.688644,0.146330,1.282146,5.862241,0.534039,6.270082
0.020000,0.261517,2.688242,0.174322,1.399596,5.872494,0.512644,6.267601
0.020000,0.291858,2.687728,0.204668,1.517290,5.884682,0.609420,6.264928
0.020000,0.324557,2.687085,0.237373,1.635252,5.898124,0.672113,6.262068
0.020000,0.359618,2.686291,0.272443,1.753494,5.912091,0.698355,6.259025
0.020000,0.397046,2.685326,0.309883,1.872049,5.927730,0.781923,6.255804
0.020000,0.436848,2.684168,0.349702,1.990936,5.944388,0.832916,6.252410
0.020000,0.479030,2.682794,0.391906,2.110190,5.962652,0.913188,6.248847
0.020000,0.523597,2.681180,0.436502,2.229821,5.981587,0.946755,6.245122
0.020000,0.570557,2.679300,0.483500,2.349869,6.002381,1.039681,6.241241
0.020000,0.619916,2.677129,0.532907,2.470352,6.024147,1.088326,6.237210
0.020000,0.671682,2.674639,0.584733,2.591298,6.047308,1.158028,6.233037
0.020000,0.725863,2.671802,0.638988,2.712736,6.071922,1.230736,6.228727
0.020000,0.782466,2.668590,0.695681,2.834697,6.098021,1.304934,6.224290
